Region;Province;Municipality_City;Mun_Code;Housing_Units
Region VII (Central Visayas);Cebu;Catmon;PH072216000;6932
Region VII (Central Visayas);Cebu;City of Cebu (Capital);PH072217000;204409
Region VII (Central Visayas);Cebu;Compostela;PH072218000;10689
Region VII (Central Visayas);Cebu;Consolacion;PH072219000;30102
Region VII (Central Visayas);Cebu;Cordova;PH072220000;13167
Region VII (Central Visayas);Cebu;Daanbantayan;PH072221000;19732
Region VII (Central Visayas);Cebu;Dalaguete;PH072222000;14266
Region VII (Central Visayas);Cebu;Danao City;PH072223000;31111
Region VII (Central Visayas);Cebu;Dumanjug;PH072224000;10912
Region VII (Central Visayas);Cebu;Ginatilan;PH072225000;3366
Region VII (Central Visayas);Cebu;City of Lapu-Lapu (Opon);PH072226000;98907
Region VII (Central Visayas);Cebu;Liloan;PH072227000;27722
Region VII (Central Visayas);Cebu;Madridejos;PH072228000;8063
Region VII (Central Visayas);Cebu;Malabuyoc;PH072229000;3747
Region VII (Central Visayas);Cebu;City of Mandaue;PH072230000;92557
Region VII (Central Visayas);Cebu;Medellin;PH072231000;12669
Region VII (Central Visayas);Cebu;Minglanilla;PH072232000;30127
Region VII (Central Visayas);Cebu;Moalboal;PH072233000;7226
Region VII (Central Visayas);Cebu;City of Naga;PH072234000;26011
Region VII (Central Visayas);Cebu;Oslob;PH072235000;5978
Region VII (Central Visayas);Cebu;Pilar;PH072236000;2987
Region VII (Central Visayas);Cebu;Pinamungahan;PH072237000;13824
Region VII (Central Visayas);Cebu;Poro;PH072238000;6092
Region VII (Central Visayas);Cebu;Ronda;PH072239000;4811
Region VII (Central Visayas);Cebu;Samboan;PH072240000;4494
Region VII (Central Visayas);Cebu;San Fernando;PH072241000;14223
Region VII (Central Visayas);Cebu;San Francisco;PH072242000;12212
Region VII (Central Visayas);Cebu;San Remigio;PH072243000;14397
Region VII (Central Visayas);Cebu;Santa Fe;PH072244000;6719
Region VII (Central Visayas);Cebu;Santander;PH072245000;4250
Region VII (Central Visayas);Cebu;Sibonga;PH072246000;11185
Region VII (Central Visayas);Cebu;Sogod;PH072247000;8416
Region VII (Central Visayas);Cebu;Tabogon;PH072248000;9530
Region VII (Central Visayas);Cebu;Tabuelan;PH072249000;6355
Region VII (Central Visayas);Cebu;City of Talisay;PH072250000;49871
Region VII (Central Visayas);Cebu;City of Toledo;PH072251000;37882
Region VII (Central Visayas);Cebu;Tuburan;PH072252000;14974
Region VII (Central Visayas);Cebu;Tudela;PH072253000;2757
Region VII (Central Visayas);Siquijor;Enrique Villanueva;PH076101000;1469
Region VII (Central Visayas);Siquijor;Larena;PH076102000;3078
Region VII (Central Visayas);Siquijor;Lazi;PH076103000;5001
Region VII (Central Visayas);Siquijor;Maria;PH076104000;3152
Region VII (Central Visayas);Siquijor;San Juan;PH076105000;3572
Region VII (Central Visayas);Siquijor;Siquijor (Capital);PH076106000;6362
Region VIII (Eastern Visayas);Eastern Samar;Arteche;PH082601000;3494
Region VIII (Eastern Visayas);Eastern Samar;Balangiga;PH082602000;3276
Region VIII (Eastern Visayas);Eastern Samar;Balangkayan;PH082603000;2374
Region VIII (Eastern Visayas);Eastern Samar;City of Borongan (Capital);PH082604000;15052
Region VIII (Eastern Visayas);Eastern Samar;Can-Avid;PH082605000;4497
Region VIII (Eastern Visayas);Eastern Samar;Dolores;PH082606000;9416
Region VIII (Eastern Visayas);Eastern Samar;General Macarthur;PH082607000;2965
Region VIII (Eastern Visayas);Eastern Samar;Giporlos;PH082608000;3209
Region VIII (Eastern Visayas);Eastern Samar;Guiuan;PH082609000;12394
Region VIII (Eastern Visayas);Eastern Samar;Hernani;PH082610000;2052
Region VIII (Eastern Visayas);Eastern Samar;Jipapad;PH082611000;1721
Region VIII (Eastern Visayas);Eastern Samar;Lawaan;PH082612000;3007
Region VIII (Eastern Visayas);Eastern Samar;Llorente;PH082613000;4698
Region VIII (Eastern Visayas);Eastern Samar;Maslog;PH082614000;1062
Region VIII (Eastern Visayas);Eastern Samar;Maydolong;PH082615000;3224
Region VIII (Eastern Visayas);Eastern Samar;Mercedes;PH082616000;1527
Region VIII (Eastern Visayas);Eastern Samar;Oras;PH082617000;8455
Region VIII (Eastern Visayas);Eastern Samar;Quinapondan;PH082618000;3377
Region VIII (Eastern Visayas);Eastern Samar;Salcedo;PH082619000;5201
Region VIII (Eastern Visayas);Eastern Samar;San Julian;PH082620000;3363
Region VIII (Eastern Visayas);Eastern Samar;San Policarpo;PH082621000;3263
Region VIII (Eastern Visayas);Eastern Samar;Sulat;PH082622000;3650
Region VIII (Eastern Visayas);Eastern Samar;Taft;PH082623000;4376
Region VIII (Eastern Visayas);Leyte;Abuyog;PH083701000;13294
Region VIII (Eastern Visayas);Leyte;Alangalang;PH083702000;12709
Region VIII (Eastern Visayas);Leyte;Albuera;PH083703000;11009
Region VIII (Eastern Visayas);Leyte;Babatngon;PH083705000;6047
Region VIII (Eastern Visayas);Leyte;Barugo;PH083706000;6869
Region VIII (Eastern Visayas);Leyte;Bato;PH083707000;8517
Region VIII (Eastern Visayas);Leyte;City of Baybay;PH083708000;25848
Region VIII (Eastern Visayas);Leyte;Burauen;PH083710000;12521
Region VIII (Eastern Visayas);Leyte;Calubian;PH083713000;7796
Region VIII (Eastern Visayas);Leyte;Capoocan;PH083714000;7292
Region VIII (Eastern Visayas);Leyte;Carigara;PH083715000;11230
Region VIII (Eastern Visayas);Leyte;Dagami;PH083717000;8374
Region VIII (Eastern Visayas);Leyte;Dulag;PH083718000;11776
Region VIII (Eastern Visayas);Leyte;Hilongos;PH083719000;14365
Region VIII (Eastern Visayas);Leyte;Hindang;PH083720000;4989
Region VIII (Eastern Visayas);Leyte;Inopacan;PH083721000;4900
Region VIII (Eastern Visayas);Leyte;Isabel;PH083722000;11137
Region VIII (Eastern Visayas);Leyte;Jaro;PH083723000;9654
Region VIII (Eastern Visayas);Leyte;Javier (Bugho);PH083724000;5986
Region VIII (Eastern Visayas);Leyte;Julita;PH083725000;3806
Region VIII (Eastern Visayas);Leyte;Kananga;PH083726000;12784
Region VIII (Eastern Visayas);Leyte;La Paz;PH083728000;4957
Region VIII (Eastern Visayas);Leyte;Leyte;PH083729000;9011
Region VIII (Eastern Visayas);Leyte;Macarthur;PH083730000;5077
Region VIII (Eastern Visayas);Leyte;Mahaplag;PH083731000;6184
Region VIII (Eastern Visayas);Leyte;Matag-Ob;PH083733000;4526
Region VIII (Eastern Visayas);Leyte;Matalom;PH083734000;7496
Region VIII (Eastern Visayas);Leyte;Mayorga;PH083735000;4224
Region VIII (Eastern Visayas);Leyte;Merida;PH083736000;7802
Region VIII (Eastern Visayas);Leyte;Ormoc City;PH083738000;49332
Region VIII (Eastern Visayas);Leyte;Palo;PH083739000;15584
Region VIII (Eastern Visayas);Leyte;Palompon;PH083740000;14431
Region VIII (Eastern Visayas);Leyte;Pastrana;PH083741000;4325
Region VIII (Eastern Visayas);Leyte;San Isidro;PH083742000;7861
Region VIII (Eastern Visayas);Leyte;San Miguel;PH083743000;4281
Region VIII (Eastern Visayas);Leyte;Santa Fe;PH083744000;4720
Region VIII (Eastern Visayas);Leyte;Tabango;PH083745000;8183
Region VIII (Eastern Visayas);Leyte;Tabontabon;PH083746000;2774
Region VIII (Eastern Visayas);Leyte;City of Tacloban (Capital);PH083747000;49541
Region VIII (Eastern Visayas);Leyte;Tanauan;PH083748000;13370
Region VIII (Eastern Visayas);Leyte;Tolosa;PH083749000;5032
Region VIII (Eastern Visayas);Leyte;Tunga;PH083750000;1590
Region VIII (Eastern Visayas);Leyte;Villaba;PH083751000;10463
Region VIII (Eastern Visayas);Northern Samar;Allen;PH084801000;5513
Region VIII (Eastern Visayas);Northern Samar;Biri;PH084802000;2262
Region VIII (Eastern Visayas);Northern Samar;Bobon;PH084803000;4817
Region VIII (Eastern Visayas);Northern Samar;Capul;PH084804000;2486
Region VIII (Eastern Visayas);Northern Samar;Catarman (Capital);PH084805000;18490
Region VIII (Eastern Visayas);Northern Samar;Catubig;PH084806000;6442
Region VIII (Eastern Visayas);Northern Samar;Gamay;PH084807000;5148
Region VIII (Eastern Visayas);Northern Samar;Laoang;PH084808000;12186
Region VIII (Eastern Visayas);Northern Samar;Lapinig;PH084809000;2468
Region VIII (Eastern Visayas);Northern Samar;Las Navas;PH084810000;7118
Region VIII (Eastern Visayas);Northern Samar;Lavezares;PH084811000;6074
Region VIII (Eastern Visayas);Northern Samar;Mapanas;PH084812000;2781
Region VIII (Eastern Visayas);Northern Samar;Mondragon;PH084813000;7567
Region VIII (Eastern Visayas);Northern Samar;Palapag;PH084814000;6900
Region VIII (Eastern Visayas);Northern Samar;Pambujan;PH084815000;5965
Region VIII (Eastern Visayas);Northern Samar;Rosario;PH084816000;2038
Region VIII (Eastern Visayas);Northern Samar;San Antonio;PH084817000;1873
Region VIII (Eastern Visayas);Northern Samar;San Isidro;PH084818000;5545
Region VIII (Eastern Visayas);Northern Samar;San Jose;PH084819000;3804
Region VIII (Eastern Visayas);Northern Samar;San Roque;PH084820000;5048
Region VIII (Eastern Visayas);Northern Samar;San Vicente;PH084821000;1641
Region VIII (Eastern Visayas);Northern Samar;Silvino Lobos;PH084822000;2725
Region VIII (Eastern Visayas);Northern Samar;Victoria;PH084823000;3210
Region VIII (Eastern Visayas);Northern Samar;Lope De Vega;PH084824000;2808
Region VIII (Eastern Visayas);Samar (Western Samar);Almagro;PH086001000;2093
Region VIII (Eastern Visayas);Samar (Western Samar);Basey;PH086002000;12623
Region VIII (Eastern Visayas);Samar (Western Samar);City of Calbayog;PH086003000;37807
Region VIII (Eastern Visayas);Samar (Western Samar);Calbiga;PH086004000;5092
Region VIII (Eastern Visayas);Samar (Western Samar);City of Catbalogan (Capital);PH086005000;20602
Region VIII (Eastern Visayas);Samar (Western Samar);Daram;PH086006000;8656
Region VIII (Eastern Visayas);Samar (Western Samar);Gandara;PH086007000;7107
Region VIII (Eastern Visayas);Samar (Western Samar);Hinabangan;PH086008000;2781
Region VIII (Eastern Visayas);Samar (Western Samar);Jiabong;PH086009000;3883
Region VIII (Eastern Visayas);Samar (Western Samar);Marabut;PH086010000;3973
Region VIII (Eastern Visayas);Samar (Western Samar);Matuguinao;PH086011000;1441
Region VIII (Eastern Visayas);Samar (Western Samar);Motiong;PH086012000;3040
Region VIII (Eastern Visayas);Samar (Western Samar);Pinabacdao;PH086013000;3668
Region VIII (Eastern Visayas);Samar (Western Samar);San Jose De Buan;PH086014000;1648
Region VIII (Eastern Visayas);Samar (Western Samar);San Sebastian;PH086015000;1672
Region VIII (Eastern Visayas);Samar (Western Samar);Santa Margarita;PH086016000;5611
Region VIII (Eastern Visayas);Samar (Western Samar);Santa Rita;PH086017000;8828
Region VIII (Eastern Visayas);Samar (Western Samar);Santo NiÃƒÂ±o;PH086018000;2720
Region VIII (Eastern Visayas);Samar (Western Samar);Talalora;PH086019000;1669
Region VIII (Eastern Visayas);Samar (Western Samar);Tarangnan;PH086020000;5347
Region VIII (Eastern Visayas);Samar (Western Samar);Villareal;PH086021000;5943
Region VIII (Eastern Visayas);Samar (Western Samar);Paranas (Wright);PH086022000;6294
Region VIII (Eastern Visayas);Samar (Western Samar);Zumarraga;PH086023000;3251
Region VIII (Eastern Visayas);Samar (Western Samar);Tagapul-An;PH086024000;1873
Region VIII (Eastern Visayas);Samar (Western Samar);San Jorge;PH086025000;3450
Region VIII (Eastern Visayas);Samar (Western Samar);Pagsanghan;PH086026000;1814
Region VIII (Eastern Visayas);Southern Leyte;Anahawan;PH086401000;1764
Region VIII (Eastern Visayas);Southern Leyte;Bontoc;PH086402000;6582
Region VIII (Eastern Visayas);Southern Leyte;Hinunangan;PH086403000;6925
Region VIII (Eastern Visayas);Southern Leyte;Hinundayan;PH086404000;3037
Region VIII (Eastern Visayas);Southern Leyte;Libagon;PH086405000;3162
Region VIII (Eastern Visayas);Southern Leyte;Liloan;PH086406000;5073
Region VIII (Eastern Visayas);Southern Leyte;City of Maasin (Capital);PH086407000;18532
Region VIII (Eastern Visayas);Southern Leyte;Macrohon;PH086408000;6031
Region VIII (Eastern Visayas);Southern Leyte;Malitbog;PH086409000;4312
Region VIII (Eastern Visayas);Southern Leyte;Padre Burgos;PH086410000;2386
Region VIII (Eastern Visayas);Southern Leyte;Pintuyan;PH086411000;2214
Region VIII (Eastern Visayas);Southern Leyte;Saint Bernard;PH086412000;5899
Region VIII (Eastern Visayas);Southern Leyte;San Francisco;PH086413000;2960
Region VIII (Eastern Visayas);Southern Leyte;San Juan (Cabalian);PH086414000;3327
Region VIII (Eastern Visayas);Southern Leyte;San Ricardo;PH086415000;2196
Region VIII (Eastern Visayas);Southern Leyte;Silago;PH086416000;3096
Region VIII (Eastern Visayas);Southern Leyte;Sogod;PH086417000;9899
Region VIII (Eastern Visayas);Southern Leyte;Tomas Oppus;PH086418000;3646
Region VIII (Eastern Visayas);Southern Leyte;Limasawa;PH086419000;1364
Region VIII (Eastern Visayas);Biliran;Almeria;PH087801000;4036
Region VIII (Eastern Visayas);Biliran;Biliran;PH087802000;3825
Region VIII (Eastern Visayas);Biliran;Cabucgayan;PH087803000;4715
Region VIII (Eastern Visayas);Biliran;Caibiran;PH087804000;4767
Region VIII (Eastern Visayas);Biliran;Culaba;PH087805000;2716
Region VIII (Eastern Visayas);Biliran;Kawayan;PH087806000;4607
Region VIII (Eastern Visayas);Biliran;Maripipi;PH087807000;1661
Region VIII (Eastern Visayas);Biliran;Naval (Capital);PH087808000;11778
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;City of Dapitan;PH097201000;17953
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;City of Dipolog (Capital);PH097202000;29503
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Katipunan;PH097203000;9718
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;La Libertad;PH097204000;1868
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Labason;PH097205000;9050
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Liloy;PH097206000;9344
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Manukan;PH097207000;7771
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Mutia;PH097208000;2683
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;PiÃƒÂ±an (New PiÃƒÂ±an);PH097209000;4609
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Polanco;PH097210000;9109
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Pres. Manuel A. Roxas;PH097211000;8319
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Rizal;PH097212000;3501
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Salug;PH097213000;7225
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Sergio OsmeÃƒÂ±a Sr.;PH097214000;6513
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Siayan;PH097215000;7253
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Sibuco;PH097216000;7222
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Sibutad;PH097217000;4308
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Sindangan;PH097218000;22155
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Siocon;PH097219000;10608
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Sirawai;PH097220000;5854
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Tampilisan;PH097221000;5654
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Jose Dalman (Ponot);PH097222000;6103
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Gutalac;PH097223000;7562
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Baliguian;PH097224000;5172
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Godod;PH097225000;3791
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Bacungan (Leon T. Postigo);PH097226000;5552
Region IX (Zamboanga Peninsula);Zamboanga Del Norte;Kalawit;PH097227000;4821
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Aurora;PH097302000;10980
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Bayog;PH097303000;6908
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Dimataling;PH097305000;6501
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Dinas;PH097306000;7679
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Dumalinao;PH097307000;7064
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Dumingag;PH097308000;9817
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Kumalarang;PH097311000;5923
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Labangan;PH097312000;8428
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Lapuyan;PH097313000;5215
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Mahayag;PH097315000;9718
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Margosatubig;PH097317000;8794
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Midsalip;PH097318000;6774
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Molave;PH097319000;11401
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;City of Pagadian (Capital);PH097322000;40665
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Ramon Magsaysay (Liargo);PH097323000;5968
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;San Miguel;PH097324000;4205
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;San Pablo;PH097325000;5792
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Tabina;PH097327000;5613
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Tambulig;PH097328000;7686
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Tukuran;PH097330000;8465
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;City of Zamboanga;PH097332000;185621
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Lakewood;PH097333000;4094
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Josefina;PH097337000;2499
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Pitogo;PH097338000;5853
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Sominot (Don Mariano Marcos);PH097340000;4144
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Vincenzo A. Sagun;PH097341000;4898
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Guipos;PH097343000;4302
Region IX (Zamboanga Peninsula);Zamboanga Del Sur;Tigbao;PH097344000;4591
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Alicia;PH098301000;7630
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Buug;PH098302000;8116
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Diplahan;PH098303000;7605
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Imelda;PH098304000;6507
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Ipil (Capital);PH098305000;17616
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Kabasalan;PH098306000;9473
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Mabuhay;PH098307000;6783
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Malangas;PH098308000;7962
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Naga;PH098309000;8433
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Olutanga;PH098310000;6523
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Payao;PH098311000;6921
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Roseller Lim;PH098312000;10443
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Siay;PH098313000;9128
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Talusan;PH098314000;5101
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Titay;PH098315000;11087
Region IX (Zamboanga Peninsula);Zamboanga Sibugay;Tungawan;PH098316000;9418
Region IX (Zamboanga Peninsula);City of Isabela (Not a Province);City of Isabela;PH099701000;20127
Region X (Northern Mindanao);Bukidnon;Baungon;PH101301000;7530
Region X (Northern Mindanao);Bukidnon;Damulog;PH101302000;6718
Region X (Northern Mindanao);Bukidnon;Dangcagan;PH101303000;5163
Region X (Northern Mindanao);Bukidnon;Don Carlos;PH101304000;14296
Region X (Northern Mindanao);Bukidnon;Impasug-Ong;PH101305000;9734
Region X (Northern Mindanao);Bukidnon;Kadingilan;PH101306000;7437
Region X (Northern Mindanao);Bukidnon;Kalilangan;PH101307000;8733
Region X (Northern Mindanao);Bukidnon;Kibawe;PH101308000;8825
Region X (Northern Mindanao);Bukidnon;Kitaotao;PH101309000;10874
Region X (Northern Mindanao);Bukidnon;Lantapan;PH101310000;12767
Region X (Northern Mindanao);Bukidnon;Libona;PH101311000;9919
Region X (Northern Mindanao);Bukidnon;City of Malaybalay (Capital);PH101312000;38440
Region X (Northern Mindanao);Bukidnon;Malitbog;PH101313000;4974
Region X (Northern Mindanao);Bukidnon;Manolo Fortich;PH101314000;21135
Region X (Northern Mindanao);Bukidnon;Maramag;PH101315000;22712
Region X (Northern Mindanao);Bukidnon;Pangantucan;PH101316000;11326
Region X (Northern Mindanao);Bukidnon;Quezon;PH101317000;22903
Region X (Northern Mindanao);Bukidnon;San Fernando;PH101318000;12312
Region X (Northern Mindanao);Bukidnon;Sumilao;PH101319000;5546
Region X (Northern Mindanao);Bukidnon;Talakag;PH101320000;14012
Region X (Northern Mindanao);Bukidnon;City of Valencia;PH101321000;43720
Region X (Northern Mindanao);Bukidnon;Cabanglasan;PH101322000;6919
Region X (Northern Mindanao);Camiguin;Catarman;PH101801000;4060
Region X (Northern Mindanao);Camiguin;Guinsiliban;PH101802000;1452
Region X (Northern Mindanao);Camiguin;Mahinog;PH101803000;3134
Region X (Northern Mindanao);Camiguin;Mambajao (Capital);PH101804000;8542
Region X (Northern Mindanao);Camiguin;Sagay;PH101805000;2875
Region X (Northern Mindanao);Lanao Del Norte;Bacolod;PH103501000;5104
Region X (Northern Mindanao);Lanao Del Norte;Baloi;PH103502000;6946
Region X (Northern Mindanao);Lanao Del Norte;Baroy;PH103503000;5528
Region X (Northern Mindanao);Lanao Del Norte;City of Iligan;PH103504000;74647
Region X (Northern Mindanao);Lanao Del Norte;Kapatagan;PH103505000;13416
Region X (Northern Mindanao);Lanao Del Norte;Sultan Naga Dimaporo (Karomatan);PH103506000;11422
Region X (Northern Mindanao);Lanao Del Norte;Kauswagan;PH103507000;5255
Region X (Northern Mindanao);Lanao Del Norte;Kolambugan;PH103508000;6197
Region X (Northern Mindanao);Lanao Del Norte;Lala;PH103509000;15051
Region X (Northern Mindanao);Lanao Del Norte;Linamon;PH103510000;4195
Region X (Northern Mindanao);Lanao Del Norte;Magsaysay;PH103511000;3833
Region X (Northern Mindanao);Lanao Del Norte;Maigo;PH103512000;4781
Region X (Northern Mindanao);Lanao Del Norte;Matungao;PH103513000;1541
Region X (Northern Mindanao);Lanao Del Norte;Munai;PH103514000;4893
Region X (Northern Mindanao);Lanao Del Norte;Nunungan;PH103515000;3456
Region X (Northern Mindanao);Lanao Del Norte;Pantao Ragat;PH103516000;2335
Region X (Northern Mindanao);Lanao Del Norte;Poona Piagapo;PH103517000;3648
Region X (Northern Mindanao);Lanao Del Norte;Salvador;PH103518000;6830
Region X (Northern Mindanao);Lanao Del Norte;Sapad;PH103519000;4354
Region X (Northern Mindanao);Lanao Del Norte;Tagoloan;PH103520000;2546
Region X (Northern Mindanao);Lanao Del Norte;Tangcal;PH103521000;2227
Region X (Northern Mindanao);Lanao Del Norte;Tubod (Capital);PH103522000;10949
Region X (Northern Mindanao);Lanao Del Norte;Pantar;PH103523000;2623
Region X (Northern Mindanao);Misamis Occidental;Aloran;PH104201000;6313
Region X (Northern Mindanao);Misamis Occidental;Baliangao;PH104202000;3841
Region X (Northern Mindanao);Misamis Occidental;Bonifacio;PH104203000;7201
Region X (Northern Mindanao);Misamis Occidental;Calamba;PH104204000;4937
Region X (Northern Mindanao);Misamis Occidental;Clarin;PH104205000;8293
Region X (Northern Mindanao);Misamis Occidental;Concepcion;PH104206000;2457
Region X (Northern Mindanao);Misamis Occidental;Jimenez;PH104207000;6307
Region X (Northern Mindanao);Misamis Occidental;Lopez Jaena;PH104208000;5803
Region X (Northern Mindanao);Misamis Occidental;City of Oroquieta (Capital);PH104209000;16340
Region X (Northern Mindanao);Misamis Occidental;City of Ozamiz;PH104210000;29626
Region X (Northern Mindanao);Misamis Occidental;Panaon;PH104211000;2406
Region X (Northern Mindanao);Misamis Occidental;Plaridel;PH104212000;9151
Region X (Northern Mindanao);Misamis Occidental;Sapang Dalaga;PH104213000;4545
Region X (Northern Mindanao);Misamis Occidental;Sinacaban;PH104214000;4088
Region X (Northern Mindanao);Misamis Occidental;City of Tangub;PH104215000;12868
Region X (Northern Mindanao);Misamis Occidental;Tudela;PH104216000;6468
Region X (Northern Mindanao);Misamis Occidental;Don Victoriano Chiongbian  (Don Mariano Marcos);PH104217000;2479
Region X (Northern Mindanao);Misamis Oriental;Alubijid;PH104301000;7627
Region X (Northern Mindanao);Misamis Oriental;Balingasag;PH104302000;14514
Region X (Northern Mindanao);Misamis Oriental;Balingoan;PH104303000;2243
Region X (Northern Mindanao);Misamis Oriental;Binuangan;PH104304000;1523
Region X (Northern Mindanao);Misamis Oriental;City of Cagayan De Oro (Capital);PH104305000;158021
Region X (Northern Mindanao);Misamis Oriental;Claveria;PH104306000;10985
Region X (Northern Mindanao);Misamis Oriental;City of El Salvador;PH104307000;11769
Region X (Northern Mindanao);Misamis Oriental;City of Gingoog;PH104308000;26307
Region X (Northern Mindanao);Misamis Oriental;Gitagum;PH104309000;3852
Region X (Northern Mindanao);Misamis Oriental;Initao;PH104310000;7361
Region X (Northern Mindanao);Misamis Oriental;Jasaan;PH104311000;11933
Region X (Northern Mindanao);Misamis Oriental;Kinoguitan;PH104312000;2984
Region X (Northern Mindanao);Misamis Oriental;Lagonglong;PH104313000;4474
Region X (Northern Mindanao);Misamis Oriental;Laguindingan;PH104314000;5604
Region X (Northern Mindanao);Misamis Oriental;Libertad;PH104315000;2707
Region X (Northern Mindanao);Misamis Oriental;Lugait;PH104316000;4372
Region X (Northern Mindanao);Misamis Oriental;Magsaysay (Linugos);PH104317000;6970
Region X (Northern Mindanao);Misamis Oriental;Manticao;PH104318000;6384
Region X (Northern Mindanao);Misamis Oriental;Medina;PH104319000;7060
Region X (Northern Mindanao);Misamis Oriental;Naawan;PH104320000;4663
Region X (Northern Mindanao);Misamis Oriental;Opol;PH104321000;13978
Region X (Northern Mindanao);Misamis Oriental;Salay;PH104322000;6141
Region X (Northern Mindanao);Misamis Oriental;Sugbongcogon;PH104323000;1895
Region X (Northern Mindanao);Misamis Oriental;Tagoloan;PH104324000;16661
Region X (Northern Mindanao);Misamis Oriental;Talisayan;PH104325000;5310
Region X (Northern Mindanao);Misamis Oriental;Villanueva;PH104326000;8518
Region XI (Davao Region);Davao Del Norte;Asuncion (Saug);PH112301000;13700
Region XI (Davao Region);Davao Del Norte;Carmen;PH112303000;16611
Region XI (Davao Region);Davao Del Norte;Kapalong;PH112305000;17150
Region XI (Davao Region);Davao Del Norte;New Corella;PH112314000;12367
Region XI (Davao Region);Davao Del Norte;City of Panabo;PH112315000;41965
Region XI (Davao Region);Davao Del Norte;Island Garden City of Samal;PH112317000;25523
Region XI (Davao Region);Davao Del Norte;Santo Tomas;PH112318000;26041
Region XI (Davao Region);Davao Del Norte;City of Tagum (Capital);PH112319000;59296
Region XI (Davao Region);Davao Del Norte;Talaingod;PH112322000;6137
Region XI (Davao Region);Davao Del Norte;Braulio E. Dujali;PH112323000;5367
Region XI (Davao Region);Davao Del Norte;San Isidro;PH112324000;6363
Region XI (Davao Region);Davao Del Sur;Bansalan;PH112401000;14826
