,year,actual,predicted,typhoon
2420,,0.0,0.13845661,bopha2012
2421,,0.0,0.13845661,bopha2012
2429,,0.0,0.1382299,bopha2012
2430,,52.43359655419957,6.092044,bopha2012
2431,,0.0280741156653565,0.73475146,bopha2012
2433,,0.0,0.11946482,bopha2012
2434,,0.0100765820233776,0.49788618,bopha2012
2435,,0.0172324659658797,4.0583506,bopha2012
2436,,56.041131105398456,35.718758,bopha2012
2438,,0.0,0.13845661,bopha2012
2440,,0.3430924062214089,3.5936048,bopha2012
2441,,0.0299760191846522,2.7589872,bopha2012
2445,,0.0,0.14549603,bopha2012
2446,,0.0,0.12426121,bopha2012
2447,,0.0,0.11793638,bopha2012
2448,,0.0,0.11886365,bopha2012
2450,,0.0,0.14986987,bopha2012
2452,,0.0,0.11886365,bopha2012
2453,,0.0,0.16225745,bopha2012
2454,,0.0,0.13845661,bopha2012
2455,,0.0,0.13845661,bopha2012
2457,,0.5926388022457891,1.1962539,bopha2012
2460,,1.4679095681988643,1.8592757,bopha2012
2461,,0.0,0.16233236,bopha2012
2463,,0.0,0.11793638,bopha2012
2466,,0.0,0.1217568,bopha2012
2468,,0.0,0.11946482,bopha2012
2472,,0.8034433285509325,1.0748354,bopha2012
2474,,0.0,0.11946482,bopha2012
2476,,0.0,0.25823617,bopha2012
2480,,0.0319081046585832,0.77386993,bopha2012
2482,,0.0168180289270097,0.48319396,bopha2012
2483,,0.0,0.1274749,bopha2012
2484,,0.0,0.12718064,bopha2012
2486,,2.3817239144523654,0.7153243,bopha2012
2487,,0.6138243928476115,1.5683321,bopha2012
2490,,0.0,0.12809592,bopha2012
2491,,0.0,0.11886365,bopha2012
2492,,0.0,0.12039209,bopha2012
2493,,0.0,0.14779454,bopha2012
2495,,0.0,0.11793638,bopha2012
2498,,5.166867712102935,13.141435,bopha2012
2499,,0.0,0.11793638,bopha2012
2502,,0.0351205806602669,0.5436611,bopha2012
2503,,0.0,0.11886365,bopha2012
2504,,0.0,0.13845661,bopha2012
2505,,0.0,0.11886365,bopha2012
2506,,0.8396305625524769,0.7879874,bopha2012
2508,,0.0,0.12511526,bopha2012
2509,,0.0,0.11886365,bopha2012
2511,,0.0,0.12915394,bopha2012
2512,,0.1419446415897799,29.132092,bopha2012
2513,,0.0,0.12493514,bopha2012
2514,,0.0156641604010025,5.5489273,bopha2012
2516,,0.0,0.12008221,bopha2012
2517,,1.0483525887890457,2.5662196,bopha2012
2523,,2.0939086294416245,19.426655,bopha2012
2525,,0.6815703380588877,0.814383,bopha2012
2526,,1.0752688172043012,2.2074313,bopha2012
2527,,0.0,0.1436293,bopha2012
2535,,8.583172147001934,5.0797524,bopha2012
2536,,0.0,0.11793638,bopha2012
2538,,0.0,0.11793638,bopha2012
2545,,0.0,0.13845661,bopha2012
2549,,0.0,0.11886365,bopha2012
2550,,31.80495588511357,22.725502,bopha2012
2551,,54.59579180509413,18.43535,bopha2012
2556,,0.0,0.12718064,bopha2012
2557,,13.997873471557682,6.6001544,bopha2012
2559,,0.0,0.16507511,bopha2012
2560,,0.0,0.13938388,bopha2012
2561,,0.0,0.11793638,bopha2012
2563,,0.0,0.18780436,bopha2012
2565,,0.0,0.11793638,bopha2012
2567,,66.51697037740738,16.076838,bopha2012
2568,,0.7034850812646559,9.551519,bopha2012
2569,,0.0,0.13845661,bopha2012
2570,,0.0,0.12039209,bopha2012
2571,,0.0,0.1204635,bopha2012
2575,,0.0,0.12718064,bopha2012
2578,,0.0143081985977965,7.451111,bopha2012
2580,,0.0734394124847001,2.4977138,bopha2012
2581,,0.9033121445299432,1.8381941,bopha2012
2583,,0.0776345102275028,2.0194914,bopha2012
2591,,0.0,0.16964747,bopha2012
2592,,0.0,0.1436293,bopha2012
2593,,0.0,0.13906686,bopha2012
2596,,0.0,0.16277224,bopha2012
2597,,0.0415627597672485,3.0312214,bopha2012
2598,,0.0,0.12039209,bopha2012
2600,,0.0,0.11946482,bopha2012
2603,,0.0,0.12304265,bopha2012
2604,,0.0,0.11886365,bopha2012
2605,,1.5845824411134906,3.2592523,bopha2012
2607,,0.2927033242734685,0.69358295,bopha2012
2608,,0.0,0.23257355,bopha2012
2609,,0.0,0.11793638,bopha2012
2611,,0.0,0.12082947,bopha2012
2613,,0.0,0.20401348,bopha2012
2617,,0.0,0.12328524,bopha2012
2618,,0.0,0.138755,bopha2012
2621,,0.6831767719897524,0.5369721,bopha2012
2622,,0.0,0.17454864,bopha2012
2623,,0.0,0.16507511,bopha2012
2626,,0.0,0.12039209,bopha2012
2629,,0.0,0.138755,bopha2012
2630,,0.0424989375265618,0.68844515,bopha2012
2633,,0.0,0.20836581,bopha2012
2637,,0.1708233686368295,0.77136475,bopha2012
2641,,0.0,0.12039209,bopha2012
2642,,0.1215066828675577,0.9774487,bopha2012
2645,,0.0,0.13938388,bopha2012
2646,,0.0,0.11886365,bopha2012
2650,,0.0,0.11946482,bopha2012
2652,,0.0328048113723346,1.113736,bopha2012
2653,,0.0706713780918728,1.9128128,bopha2012
2654,,0.0,0.11793638,bopha2012
2656,,0.0,0.11793638,bopha2012
2657,,0.0,0.11793638,bopha2012
2658,,0.0,0.12082947,bopha2012
2661,,0.0,0.13845661,bopha2012
2662,,0.0,0.11793638,bopha2012
2664,,0.0,0.12654218,bopha2012
2666,,0.0,0.11793638,bopha2012
2668,,0.0,0.11793638,bopha2012
2670,,0.0,0.1202491,bopha2012
2671,,0.0,0.11946482,bopha2012
2672,,0.0,0.14816296,bopha2012
2674,,0.0,0.11886365,bopha2012
2675,,0.0,0.1281079,bopha2012
2676,,1.9169646404449745,2.6129146,bopha2012
2678,,0.0,0.12304265,bopha2012
2680,,0.0,0.12039209,bopha2012
2681,,0.0,0.12082947,bopha2012
2682,,0.0,0.1398887,bopha2012
2685,,0.417391304347826,1.7340881,bopha2012
2687,,0.0,0.11793638,bopha2012
2690,,1.074743527112848,1.64541,bopha2012
2691,,0.0,0.13845661,bopha2012
2692,,0.0,0.13845661,bopha2012
2694,,0.0439238653001464,0.8971595,bopha2012
2695,,2.047174009790832,2.4024303,bopha2012
2696,,0.109938434476693,0.7707495,bopha2012
2698,,0.0,0.11886365,bopha2012
2699,,0.0,0.11793638,bopha2012
2700,,0.0,0.12039209,bopha2012
2701,,0.0,0.13845661,bopha2012
2702,,0.0,0.13845661,bopha2012
2703,,0.0,0.14528312,bopha2012
2704,,0.0,0.16630858,bopha2012
2705,,0.0070308654995429,0.29760635,bopha2012
2706,,1.1371020142949968,5.7584853,bopha2012
2709,,0.0236658383623239,1.3274459,bopha2012
2711,,0.0,0.13845661,bopha2012
2712,,0.0,0.11793638,bopha2012
2713,,0.0,0.24413851,bopha2012
2714,,0.0,0.12211538,bopha2012
2717,,1.9644821625019644,13.920523,bopha2012
2719,,0.0,0.13845661,bopha2012
2720,,0.0635324015247776,0.72397476,bopha2012
2721,,0.0,0.11886365,bopha2012
2725,,0.0,0.12039209,bopha2012
2726,,0.0,0.11946482,bopha2012
2727,,0.0,0.2886313,bopha2012
2728,,0.0,0.2133903,bopha2012
2729,,1.287793952967525,18.471933,bopha2012
2731,,0.0,0.138755,bopha2012
2733,,0.1356852103120759,10.720403,bopha2012
2734,,0.0,0.11886365,bopha2012
2735,,0.0,0.11793638,bopha2012
2736,,0.0,0.122683175,bopha2012
2737,,0.0,0.11886365,bopha2012
2738,,0.0,0.13129978,bopha2012
2743,,0.0,0.22163649,bopha2012
2744,,0.0,0.11793638,bopha2012
2745,,0.0,0.12082947,bopha2012
2747,,0.0,0.11793638,bopha2012
2748,,0.0,0.15163688,bopha2012
2749,,0.0,0.1353418,bopha2012
2753,,0.0,0.27581495,bopha2012
2755,,0.0,0.1625452,bopha2012
2756,,0.0,0.20854926,bopha2012
2757,,0.0,0.1436293,bopha2012
2758,,0.0,0.11886365,bopha2012
2759,,0.0,0.13938388,bopha2012
2760,,0.0,0.8036294,bopha2012
2761,,0.0,0.20984718,bopha2012
2762,,0.0,0.1436293,bopha2012
2764,,0.0,0.12082947,bopha2012
2765,,0.0,0.1274749,bopha2012
2767,,0.0,0.11946482,bopha2012
2768,,28.993678455492912,29.751566,bopha2012
2769,,0.0,0.29802063,bopha2012
2770,,0.0,0.11793638,bopha2012
2771,,0.0,0.2637372,bopha2012
2772,,0.0,0.122683175,bopha2012
2773,,0.0,0.11793638,bopha2012
2775,,0.0506585612968591,0.72397476,bopha2012
2776,,0.0,0.13183504,bopha2012
2777,,0.0,0.17591107,bopha2012
2778,,1.5294117647058825,4.3933787,bopha2012
2779,,0.0,0.22609417,bopha2012
2781,,0.0,0.1971287,bopha2012
2782,,0.0,0.11953623,bopha2012
2783,,0.0104231811548884,0.11886365,bopha2012
2784,,0.0,0.11946482,bopha2012
2785,,0.0,0.11793638,bopha2012
2786,,0.0,0.11793638,bopha2012
2788,,0.0,0.13845661,bopha2012
2789,,0.6201194304088194,0.6292487,bopha2012
2791,,0.0,0.11946482,bopha2012
2792,,0.0,0.11886365,bopha2012
2794,,0.0,0.15940928,bopha2012
2795,,0.0,0.11946482,bopha2012
2796,,0.0,0.11886365,bopha2012
2803,,0.0150784077201447,0.70816773,bopha2012
2805,,0.0089405453732677,0.42797592,bopha2012
2810,,0.0,0.13845661,bopha2012
2811,,0.0,0.11793638,bopha2012
2818,,0.8016347060672745,13.810928,bopha2012
2820,,0.0,0.11886365,bopha2012
2827,,0.0,0.13008127,bopha2012
2828,,0.0,0.16667496,bopha2012
2831,,0.0,0.14278926,bopha2012
2832,,0.0,0.14274235,bopha2012
2833,,0.2110817941952506,1.9552667,bopha2012
2834,,0.0,0.13845661,bopha2012
2841,,0.4688063469166967,17.704288,bopha2012
2842,,0.0,0.15124446,bopha2012
2844,,0.0028925141733194,0.39600664,bopha2012
2845,,0.0,0.13845661,bopha2012
2852,,0.0,0.13823494,bopha2012
2855,,16.229862947823996,2.2468498,bopha2012
2857,,0.0392772977219167,2.7076533,bopha2012
2858,,0.0180061220815077,18.91147,bopha2012
2860,,0.0,0.20984718,bopha2012
2861,,3.031784841075795,3.681878,bopha2012
2863,,0.0856408792463602,9.814348,bopha2012
2865,,0.0070067264573991,0.46148935,bopha2012
2866,,0.0564971751412429,1.5338231,bopha2012
2871,,0.049455984174085,1.1951927,bopha2012
2874,,0.0,0.11946482,bopha2012
2877,,0.0,0.1616242,bopha2012
2879,,0.0,0.13938388,bopha2012
2880,,0.2013085052843482,1.3383034,bopha2012
2881,,3.4090909090909087,0.7562423,bopha2012
2882,,5.302319764897143,3.9381251,bopha2012
2883,,0.0,0.11886365,bopha2012
2884,,0.0,0.16507511,bopha2012
2885,,0.0,0.13998505,bopha2012
2888,,0.0,0.50347686,bopha2012
2890,,0.0,0.12082947,bopha2012
2891,,0.0,0.31332093,bopha2012
2897,,47.57701773741832,19.820559,bopha2012
2900,,0.0,0.14870524,bopha2012
2902,,0.0,0.14252068,bopha2012
2904,,0.0386100386100386,0.64703965,bopha2012
2906,,0.0,0.12537639,bopha2012
2907,,0.0,0.13845661,bopha2012
2908,,0.0091332541784637,1.385202,bopha2012
2912,,0.0,0.12467071,bopha2012
2914,,0.1546072974644403,1.4093226,bopha2012
2916,,0.0,0.13370086,bopha2012
2919,,0.0,0.11886365,bopha2012
2921,,0.0181290790427846,0.34514487,bopha2012
2923,,0.0,0.11886365,bopha2012
2924,,0.0,0.12177754,bopha2012
2926,,0.0,0.11886365,bopha2012
2927,,0.0,0.13845661,bopha2012
2929,,34.73188483356523,41.17956,bopha2012
2930,,2.3547040565128974,41.17956,bopha2012
2932,,0.0117398450340455,12.836595,bopha2012
2933,,0.0,0.11886365,bopha2012
2934,,0.0,0.12561485,bopha2012
2935,,0.0,0.13845661,bopha2012
2937,,0.0,0.15523027,bopha2012
2940,,0.0,0.14770088,bopha2012
24629,,0.0384319754035357,0.5705804,conson2010
24631,,0.0,0.15079658,conson2010
24632,,0.0,0.12470667,conson2010
24633,,0.0282565696524441,0.8452484,conson2010
24634,,0.0,0.55886984,conson2010
