id,adm3_en,adm3_pcode,glat,glon
"42847",Gingoog City,PH104308000,8.700,125.200
"43104",Gingoog City,PH104308000,8.850,125.250
"38690",Gitagum,PH104309000,8.550,124.400
"38431",Initao,PH104310000,8.500,124.350
"38432",Initao,PH104310000,8.450,124.350
"40507",Jasaan,PH104311000,8.700,124.750
"40508",Jasaan,PH104311000,8.650,124.750
"40765",Lagonglong,PH104313000,8.800,124.800
"41025",Lagonglong,PH104313000,8.800,124.850
"38949",Laguindingan,PH104314000,8.600,124.450
"38430",Libertad,PH104315000,8.550,124.350
"38691",Libertad,PH104315000,8.500,124.400
"38174",Lugait,PH104316000,8.350,124.300
"42840",Magsaysay,PH104317000,9.050,125.200
"42841",Magsaysay,PH104317000,9.000,125.200
"42842",Magsaysay,PH104317000,8.950,125.200
"42843",Magsaysay,PH104317000,8.900,125.200
"38173",Manticao,PH104318000,8.400,124.300
"38434",Manticao,PH104318000,8.350,124.350
"38694",Manticao,PH104318000,8.350,124.400
"18243",Sudipen,PH013319000,16.900,120.500
"18244",Sudipen,PH013319000,16.850,120.500
"18245",Sudipen,PH013319000,16.800,120.500
"38172",Naawan,PH104320000,8.450,124.300
"38433",Naawan,PH104320000,8.400,124.350
"38693",Naawan,PH104320000,8.400,124.400
"38953",Opol,PH104321000,8.400,124.450
"38954",Opol,PH104321000,8.350,124.450
"39212",Opol,PH104321000,8.450,124.500
"39213",Opol,PH104321000,8.400,124.500
"39471",Opol,PH104321000,8.500,124.550
"39472",Opol,PH104321000,8.450,124.550
"40763",Salay,PH104322000,8.900,124.800
"40764",Salay,PH104322000,8.850,124.800
"41024",Salay,PH104322000,8.850,124.850
"40762",Sugbongcogon,PH104323000,8.950,124.800
"41023",Sugbongcogon,PH104323000,8.900,124.850
"40510",Tagoloan,PH104324000,8.550,124.750
"41282",Talisayan,PH104325000,8.950,124.900
"41542",Talisayan,PH104325000,8.950,124.950
"40769",Villanueva,PH104326000,8.600,124.800
"40770",Villanueva,PH104326000,8.550,124.800
"45728",Asuncion,PH112301000,7.650,125.750
"45729",Asuncion,PH112301000,7.600,125.750
"45730",Asuncion,PH112301000,7.550,125.750
"45731",Asuncion,PH112301000,7.500,125.750
"45988",Asuncion,PH112301000,7.650,125.800
"46247",Asuncion,PH112301000,7.700,125.850
"46507",Asuncion,PH112301000,7.700,125.900
"45213",Carmen,PH112303000,7.400,125.650
"45214",Carmen,PH112303000,7.350,125.650
"45473",Carmen,PH112303000,7.400,125.700
"45474",Carmen,PH112303000,7.350,125.700
"45733",Carmen,PH112303000,7.400,125.750
"17734",Tubao,PH013320000,16.350,120.400
"17994",Tubao,PH013320000,16.350,120.450
"17995",Tubao,PH013320000,16.300,120.450
"14618",Agno,PH015501000,16.150,119.800
"14619",Agno,PH015501000,16.100,119.800
"14620",Agno,PH015501000,16.050,119.800
"14879",Agno,PH015501000,16.100,119.850
"16704",Aguilar,PH015502000,15.850,120.200
"16705",Aguilar,PH015502000,15.800,120.200
"16963",Aguilar,PH015502000,15.900,120.250
"16964",Aguilar,PH015502000,15.850,120.250
"15397",City of Alaminos,PH015503000,16.200,119.950
"15398",City of Alaminos,PH015503000,16.150,119.950
"15658",City of Alaminos,PH015503000,16.150,120.000
"15659",City of Alaminos,PH015503000,16.100,120.000
"15660",City of Alaminos,PH015503000,16.050,120.000
"15918",City of Alaminos,PH015503000,16.150,120.050
"18264",Alcala,PH015504000,15.850,120.500
"18524",Alcala,PH015504000,15.850,120.550
"15395",Anda,PH015505000,16.300,119.950
"15655",Anda,PH015505000,16.300,120.000
"15656",Anda,PH015505000,16.250,120.000
"22426",Maria Aurora,PH037707000,15.750,121.300
"22685",Maria Aurora,PH037707000,15.800,121.350
"22686",Maria Aurora,PH037707000,15.750,121.350
"22945",Maria Aurora,PH037707000,15.800,121.400
"22946",Maria Aurora,PH037707000,15.750,121.400
"23204",Maria Aurora,PH037707000,15.850,121.450
"23205",Maria Aurora,PH037707000,15.800,121.450
"23206",Maria Aurora,PH037707000,15.750,121.450
"23465",Maria Aurora,PH037707000,15.800,121.500
"19041",Asingan,PH015506000,16.000,120.650
"19042",Asingan,PH015506000,15.950,120.650
"19301",Asingan,PH015506000,16.000,120.700
"19303",Balungao,PH015507000,15.900,120.700
"19304",Balungao,PH015507000,15.850,120.700
"14616",Bani,PH015508000,16.250,119.800
"14617",Bani,PH015508000,16.200,119.800
"14876",Bani,PH015508000,16.250,119.850
"14877",Bani,PH015508000,16.200,119.850
"14878",Bani,PH015508000,16.150,119.850
"15137",Bani,PH015508000,16.200,119.900
"15138",Bani,PH015508000,16.150,119.900
"17744",Basista,PH015509000,15.850,120.400
"18265",Bautista,PH015510000,15.800,120.500
"18525",Bautista,PH015510000,15.800,120.550
"17745",Bayambang,PH015511000,15.800,120.400
"18004",Bayambang,PH015511000,15.850,120.450
"18005",Bayambang,PH015511000,15.800,120.450
"18006",Bayambang,PH015511000,15.750,120.450
"18266",Bayambang,PH015511000,15.750,120.500
"26365",Pitogo,PH045634000,13.800,122.050
"26624",Pitogo,PH045634000,13.850,122.100
"26625",Pitogo,PH045634000,13.800,122.100
"18779",Binalonan,PH015512000,16.100,120.600
"18780",Binalonan,PH015512000,16.050,120.600
"17220",Binmaley,PH015513000,16.050,120.300
"17221",Binmaley,PH015513000,16.000,120.300
"14615",Bolinao,PH015514000,16.300,119.800
"14874",Bolinao,PH015514000,16.350,119.850
