"","task.id","learner.id","iter","mae"
"190","mekkhala2015","xgboost.tuned",5,4.81401481939475
"191","melor2015","ranger.tuned",1,5.03569717184135
"192","melor2015","ranger.tuned",2,4.98245908255778
"193","melor2015","ranger.tuned",3,4.200040807623
"194","melor2015","ranger.tuned",4,5.83861041765902
"195","melor2015","ranger.tuned",5,5.04324157738888
"196","melor2015","xgboost.tuned",1,4.94708122237689
"197","melor2015","xgboost.tuned",2,4.69976171959426
"198","melor2015","xgboost.tuned",3,4.50588461817221
"199","melor2015","xgboost.tuned",4,5.76175984063491
"200","melor2015","xgboost.tuned",5,4.96243823205125
"201","meranti2016","ranger.tuned",1,5.58509024296602
"202","meranti2016","ranger.tuned",2,5.48614610430419
"203","meranti2016","ranger.tuned",3,6.11020826311828
"204","meranti2016","ranger.tuned",4,5.37021317830808
"205","meranti2016","ranger.tuned",5,4.61763350988309
"206","meranti2016","xgboost.tuned",1,5.8446260562461
"207","meranti2016","xgboost.tuned",2,5.85140596372417
"208","meranti2016","xgboost.tuned",3,5.99482955312508
"209","meranti2016","xgboost.tuned",4,5.38726943230565
"210","meranti2016","xgboost.tuned",5,4.78047454847233
"211","molave2020","ranger.tuned",1,6.49474811351822
"212","molave2020","ranger.tuned",2,5.22962936660379
"213","molave2020","ranger.tuned",3,5.28614890499835
"214","molave2020","ranger.tuned",4,5.7907117206022
"215","molave2020","ranger.tuned",5,5.00928503070438
"216","molave2020","xgboost.tuned",1,6.11173288947471
"217","molave2020","xgboost.tuned",2,4.93998935601357
"218","molave2020","xgboost.tuned",3,6.05024707268986
"219","molave2020","xgboost.tuned",4,5.4408413164374
"220","molave2020","xgboost.tuned",5,5.37543890597486
"221","mujigae2015","ranger.tuned",1,5.34871105081746
"222","mujigae2015","ranger.tuned",2,5.03561768131171
"223","mujigae2015","ranger.tuned",3,5.70879641062299
"224","mujigae2015","ranger.tuned",4,5.05279415237296
"225","mujigae2015","ranger.tuned",5,5.37545242508297
"226","mujigae2015","xgboost.tuned",1,5.34378841098126
"227","mujigae2015","xgboost.tuned",2,5.47467544335658
"228","mujigae2015","xgboost.tuned",3,5.96868092161695
"229","mujigae2015","xgboost.tuned",4,4.99742223597855
"230","mujigae2015","xgboost.tuned",5,5.15965961947157
"231","nari2013","ranger.tuned",1,5.38730134773104
"232","nari2013","ranger.tuned",2,5.5774769937943
"233","nari2013","ranger.tuned",3,5.09671122790786
"234","nari2013","ranger.tuned",4,5.74211814320748
"235","nari2013","ranger.tuned",5,4.76689587251533
"236","nari2013","xgboost.tuned",1,5.5111834438339
"237","nari2013","xgboost.tuned",2,5.68312495751559
"238","nari2013","xgboost.tuned",3,5.30025476495255
"239","nari2013","xgboost.tuned",4,5.82644417762928
"240","nari2013","xgboost.tuned",5,4.77463434391125
"241","nesat2011","ranger.tuned",1,5.63975445073293
"242","nesat2011","ranger.tuned",2,5.60646307221668
"243","nesat2011","ranger.tuned",3,5.93680620810496
"244","nesat2011","ranger.tuned",4,4.46783677511378
"245","nesat2011","ranger.tuned",5,5.09737103910091
"246","nesat2011","xgboost.tuned",1,5.64754124373377
"247","nesat2011","xgboost.tuned",2,5.72684799889757
"248","nesat2011","xgboost.tuned",3,5.61420731721121
"249","nesat2011","xgboost.tuned",4,4.63336038722145
"250","nesat2011","xgboost.tuned",5,5.26816118166912
"251","nock-ten2016","ranger.tuned",1,4.85679185742248
"252","nock-ten2016","ranger.tuned",2,4.93922090294556
"253","nock-ten2016","ranger.tuned",3,5.50861918041681
"254","nock-ten2016","ranger.tuned",4,5.51230411775948
"255","nock-ten2016","ranger.tuned",5,5.1664911966293
"256","nock-ten2016","xgboost.tuned",1,4.55134718523413
"257","nock-ten2016","xgboost.tuned",2,5.07517697931361
"258","nock-ten2016","xgboost.tuned",3,5.56403584703327
