pcode,value,typhoon_name
PH03491700,12.0,bopha
PH03491800,18.0,bopha
PH03491900,79.0,bopha
PH03492000,26.0,bopha
PH03492000,26.0,bopha
PH03492000,26.0,bopha
PH03492000,26.0,bopha
PH03492000,26.0,bopha
PH03492000,26.0,bopha
PH03492000,26.0,bopha
PH03492000,8.0,bopha
PH03492000,26.0,bopha
PH03492000,26.0,bopha
PH03492100,80.0,bopha
PH03492200,68.0,bopha
PH03492300,44.0,bopha
PH03492400,149.0,bopha
PH03492500,73.0,bopha
PH03492600,11.0,bopha
PH03492700,97.0,bopha
PH03492800,77.0,bopha
PH03492900,27.0,bopha
PH03493000,22.0,bopha
PH03493000,22.0,bopha
PH03493100,12.0,bopha
PH03493200,82.0,bopha
PH03540100,25.0,bopha
PH03540200,75.0,bopha
PH03540300,56.0,bopha
PH03540400,58.0,bopha
PH03540500,64.0,bopha
PH03540600,19.0,bopha
PH03540700,42.0,bopha
PH03540800,49.0,bopha
PH03540900,27.0,bopha
PH03541000,76.0,bopha
PH03541100,35.0,bopha
PH03541200,76.0,bopha
PH03541300,38.0,bopha
PH03541400,71.0,bopha
PH03541500,13.0,bopha
PH03541600,58.0,bopha
PH03541700,70.0,bopha
PH03541800,68.0,bopha
PH03541900,56.0,bopha
PH03542000,30.0,bopha
PH03542100,68.0,bopha
PH03542200,76.0,bopha
PH03690100,18.0,bopha
PH03690200,11.0,bopha
PH03690300,7.0,bopha
PH03690400,9.0,bopha
PH03690500,40.0,bopha
PH03690600,12.0,bopha
PH03690700,82.0,bopha
PH03690800,3.0,bopha
PH03690900,37.0,bopha
PH03691000,13.0,bopha
PH03691100,17.0,bopha
PH03691200,17.0,bopha
PH03691300,2.0,bopha
PH03691400,9.0,bopha
PH03691500,6.0,bopha
PH03691600,20.0,bopha
PH03691700,24.0,bopha
PH03691800,4.0,bopha
PH03710100,17.0,bopha
PH03710200,17.0,bopha
PH03710300,2.0,bopha
PH03710300,9.0,bopha
PH03710400,16.0,bopha
PH03710500,8.0,bopha
PH03710500,17.0,bopha
PH03710600,2.0,bopha
PH03710600,2.0,bopha
PH03710600,7.0,bopha
PH03710700,16.0,bopha
PH03710700,16.0,bopha
PH03710700,16.0,bopha
PH03710700,16.0,bopha
PH03710700,16.0,bopha
PH03710700,16.0,bopha
PH03710700,18.0,bopha
PH03710800,9.0,bopha
PH03710800,7.0,bopha
PH03710800,17.0,bopha
PH03710900,7.0,bopha
PH03710900,7.0,bopha
PH03710900,13.0,bopha
PH03711000,11.0,bopha
PH03711100,7.0,bopha
PH03711200,11.0,bopha
PH03711300,5.0,bopha
PH03711300,15.0,bopha
PH03711300,10.0,bopha
PH03711300,11.0,bopha
PH03711400,16.0,bopha
PH03711400,16.0,bopha
PH03770100,176.0,bopha
PH03770200,187.0,bopha
PH03770200,587.0,bopha
PH03770200,175.0,bopha
PH03770200,175.0,bopha
PH03770200,218.0,bopha
PH03770200,517.0,bopha
PH03770300,288.0,bopha
PH03770400,289.0,bopha
PH03770500,255.0,bopha
PH03770600,186.0,bopha
PH03770600,186.0,bopha
PH03770600,186.0,bopha
PH03770700,99.0,bopha
PH03770800,184.0,bopha
PH03770800,110.0,bopha
PH04100100,198.0,bopha
PH04100200,176.0,bopha
PH04100300,122.0,bopha
PH04100400,256.0,bopha
PH04100400,258.0,bopha
PH04100500,156.0,bopha
PH04100500,154.0,bopha
PH04100500,154.0,bopha
PH04100500,95.0,bopha
PH04100500,95.0,bopha
PH04100500,171.0,bopha
PH04100600,155.0,bopha
PH04100700,126.0,bopha
PH04100700,126.0,bopha
PH04100700,122.0,bopha
PH04100800,31.0,bopha
PH04100800,31.0,bopha
PH04100800,96.0,bopha
PH04100900,375.0,bopha
PH04101000,211.0,bopha
PH04101100,168.0,bopha
PH04101200,155.0,bopha
PH04101200,126.0,bopha
PH04101300,102.0,bopha
PH04101400,244.0,bopha
PH04101500,210.0,bopha
PH04101600,115.0,bopha
PH04101700,258.0,bopha
PH04101800,244.0,bopha
PH04101900,33.0,bopha
PH04101900,63.0,bopha
PH04101900,63.0,bopha
PH04101900,63.0,bopha
PH04101900,63.0,bopha
PH04101900,60.0,bopha
PH04101900,89.0,bopha
PH04101900,63.0,bopha
PH04101900,63.0,bopha
PH04101900,63.0,bopha
PH04101900,89.0,bopha
PH04101900,89.0,bopha
PH04101900,63.0,bopha
PH04101900,63.0,bopha
PH04101900,63.0,bopha
PH04101900,60.0,bopha
PH04101900,63.0,bopha
PH04101900,63.0,bopha
PH04101900,60.0,bopha
PH04101900,60.0,bopha
PH04102000,303.0,bopha
PH04102100,303.0,bopha
PH04102200,176.0,bopha
PH04102300,289.0,bopha
PH04102400,155.0,bopha
PH04102500,198.0,bopha
PH04102500,198.0,bopha
PH04102600,95.0,bopha
PH04102600,176.0,bopha
PH04102700,155.0,bopha
PH04102800,258.0,bopha
PH04102900,155.0,bopha
PH04103000,256.0,bopha
PH04103000,168.0,bopha
PH04103000,256.0,bopha
PH04103000,236.0,bopha
PH04103100,256.0,bopha
PH04103200,265.0,bopha
PH04103300,122.0,bopha
PH04103300,122.0,bopha
PH04103300,18.0,bopha
PH04103300,18.0,bopha
PH04103400,157.0,bopha
PH04210100,174.0,bopha
PH04210200,154.0,bopha
PH04210300,121.0,bopha
PH04210400,194.0,bopha
PH04210500,103.0,bopha
PH04210500,103.0,bopha
PH04210500,61.0,bopha
PH04210500,138.0,bopha
PH04210600,113.0,bopha
PH04210700,174.0,bopha
PH04210800,113.0,bopha
PH04210900,113.0,bopha
PH04211000,174.0,bopha
PH04211100,121.0,bopha
PH04211200,118.0,bopha
PH04211300,132.0,bopha
PH04211400,174.0,bopha
PH04211500,127.0,bopha
PH04211500,127.0,bopha
PH04211500,132.0,bopha
PH04211600,138.0,bopha
PH04211600,138.0,bopha
PH04211700,138.0,bopha
PH04211700,138.0,bopha
PH04211800,131.0,bopha
PH04211900,154.0,bopha
PH04212000,127.0,bopha
PH04212000,127.0,bopha
PH04212000,147.0,bopha
PH04212100,106.0,bopha
PH04212100,106.0,bopha
PH04212100,132.0,bopha
PH04212200,158.0,bopha
PH04212300,194.0,bopha
PH04340100,248.0,bopha
PH04340200,235.0,bopha
PH04340300,194.0,bopha
PH04340400,447.0,bopha
PH04340500,166.0,bopha
PH04340500,284.0,bopha
PH04340600,235.0,bopha
PH04340700,288.0,bopha
PH04340800,212.0,bopha
PH04340900,237.0,bopha
PH04341000,189.0,bopha
PH04341100,235.0,bopha
PH04341200,222.0,bopha
PH04341300,288.0,bopha
PH04341300,248.0,bopha
PH04341300,248.0,bopha
PH04341300,248.0,bopha
PH04341300,248.0,bopha
PH04341400,248.0,bopha
PH04341400,212.0,bopha
PH04341500,278.0,bopha
PH04341600,189.0,bopha
PH04341700,189.0,bopha
PH04341800,237.0,bopha
PH04341900,278.0,bopha
PH04342000,261.0,bopha
PH04342000,171.0,bopha
PH04342100,248.0,bopha
PH04342100,212.0,bopha
PH04342200,198.0,bopha
PH04342300,141.0,bopha
PH04342400,194.0,bopha
PH04342500,194.0,bopha
PH04342600,278.0,bopha
PH04342600,248.0,bopha
PH04342700,143.0,bopha
PH04342800,259.0,bopha
PH04342900,212.0,bopha
PH04343000,198.0,bopha
PH04343000,198.0,bopha
PH04560100,100.0,bopha
PH04560100,100.0,bopha
PH04560200,80.0,bopha
PH04560300,154.0,bopha
PH04560500,58.0,bopha
PH04560600,80.0,bopha
PH04560600,80.0,bopha
PH04560600,80.0,bopha
PH04560600,112.0,bopha
PH04560600,80.0,bopha
PH04560600,80.0,bopha
PH04560600,112.0,bopha
PH04560600,80.0,bopha
PH04560600,80.0,bopha
PH04560600,151.0,bopha
PH04560600,99.0,bopha
PH04560600,151.0,bopha
PH04560600,151.0,bopha
PH04560600,48.0,bopha
PH04560600,48.0,bopha
PH04560600,151.0,bopha
PH04560600,151.0,bopha
PH04560600,151.0,bopha
PH04560600,48.0,bopha
PH04560600,80.0,bopha
PH04560600,80.0,bopha
PH04560600,210.0,bopha
PH04560600,112.0,bopha
PH04560600,80.0,bopha
PH04560600,142.0,bopha
PH04560600,222.0,bopha
PH04560600,222.0,bopha
PH04560600,222.0,bopha
PH04560600,222.0,bopha
PH04560700,62.0,bopha
PH04560700,203.0,bopha
PH04560800,97.0,bopha
PH04561000,97.0,bopha
PH04561500,141.0,bopha
PH04561600,49.0,bopha
PH04561600,49.0,bopha
PH04561600,49.0,bopha
PH04561700,343.0,bopha
PH04561700,169.0,bopha
PH04561800,19.0,bopha
PH04561800,40.0,bopha
PH04561900,191.0,bopha
PH04562000,343.0,bopha
PH04562000,105.0,bopha
PH04562100,61.0,bopha
PH04562200,87.0,bopha
PH04562200,148.0,bopha
PH04562200,148.0,bopha
PH04562200,148.0,bopha
PH04562200,148.0,bopha
PH04562200,148.0,bopha
PH04562200,148.0,bopha
PH04562200,148.0,bopha
PH04562200,325.0,bopha
PH04562200,325.0,bopha
PH04562300,222.0,bopha
PH04562400,100.0,bopha
PH04562400,120.0,bopha
PH04562500,157.0,bopha
PH04562700,89.0,bopha
PH04562700,210.0,bopha
PH04562800,58.0,bopha
PH04562900,154.0,bopha
PH04562900,154.0,bopha
PH04562900,105.0,bopha
PH04562900,154.0,bopha
PH04562900,154.0,bopha
PH04562900,152.0,bopha
PH04563000,152.0,bopha
PH04563000,105.0,bopha
PH04563000,105.0,bopha
PH04563000,105.0,bopha
PH04563000,105.0,bopha
PH04563000,105.0,bopha
PH04563000,105.0,bopha
PH04563000,120.0,bopha
PH04563000,120.0,bopha
PH04563000,105.0,bopha
PH04563000,105.0,bopha
PH04563100,374.0,bopha
PH04563100,222.0,bopha
PH04563100,222.0,bopha
PH04563100,222.0,bopha
PH04563200,65.0,bopha
PH04563200,65.0,bopha
PH04563200,48.0,bopha
PH04563200,48.0,bopha
PH04563200,48.0,bopha
PH04563200,48.0,bopha
PH04563200,65.0,bopha
PH04563200,65.0,bopha
PH04563200,65.0,bopha
PH04563200,57.0,bopha
PH04563200,65.0,bopha
PH04563200,48.0,bopha
PH04563200,48.0,bopha
PH04563200,48.0,bopha
PH04563300,61.0,bopha
PH04563300,118.0,bopha
PH04563300,118.0,bopha
PH04563400,176.0,bopha
PH04563500,122.0,bopha
PH04563600,65.0,bopha
PH04563600,65.0,bopha
PH04563600,65.0,bopha
PH04563600,65.0,bopha
PH04563600,86.0,bopha
PH04563700,88.0,bopha
PH04563700,133.0,bopha
PH04563700,133.0,bopha
PH04563800,187.0,bopha
PH04563800,187.0,bopha
PH04563800,187.0,bopha
PH04563800,126.0,bopha
PH04563900,150.0,bopha
PH04564000,103.0,bopha
PH04564000,109.0,bopha
PH04564100,249.0,bopha
PH04564200,99.0,bopha
PH04564200,41.0,bopha
PH04564400,23.0,bopha
PH04564400,24.0,bopha
PH04564500,114.0,bopha
PH04564600,34.0,bopha
PH04564600,46.0,bopha
PH04564700,173.0,bopha
PH04564800,192.0,bopha
PH04564900,100.0,bopha
PH04564900,176.0,bopha
PH04564900,100.0,bopha
PH04580100,86.0,bopha
PH04580200,105.0,bopha
PH04580300,157.0,bopha
PH04580400,176.0,bopha
PH04580400,176.0,bopha
PH04580400,176.0,bopha
PH04580400,266.0,bopha
PH04580400,176.0,bopha
PH04580400,136.0,bopha
PH04580500,86.0,bopha
PH04580600,176.0,bopha
PH04580600,266.0,bopha
PH04580600,266.0,bopha
PH04580600,266.0,bopha
PH04580600,266.0,bopha
PH04580700,198.0,bopha
PH04580700,261.0,bopha
PH04580700,198.0,bopha
PH04580800,125.0,bopha
PH04580900,157.0,bopha
PH04581000,378.0,bopha
PH04581000,378.0,bopha
PH04581100,62.0,bopha
PH04581200,149.0,bopha
PH04581300,86.0,bopha
PH04581400,157.0,bopha
PH05050100,278.0,bopha
PH05050100,271.0,bopha
PH05050100,278.0,bopha
PH05050100,148.0,bopha
PH05050100,112.0,bopha
PH05050200,146.0,bopha
PH05050300,146.0,bopha
PH05050400,96.0,bopha
PH05050500,109.0,bopha
PH05050600,168.0,bopha
PH05050700,131.0,bopha
PH05050800,91.0,bopha
PH05050900,188.0,bopha
PH05050900,160.0,bopha
PH05051000,131.0,bopha
PH05051100,133.0,bopha
PH05051100,138.0,bopha
PH05051200,91.0,bopha
PH05051300,187.0,bopha
PH05051400,117.0,bopha
PH05051500,123.0,bopha
PH05051500,148.0,bopha
PH05051500,109.0,bopha
PH05051500,109.0,bopha
PH05051500,112.0,bopha
PH05051500,104.0,bopha
PH05051500,124.0,bopha
PH05051600,271.0,bopha
PH05051700,188.0,bopha
PH05051700,131.0,bopha
PH05051800,132.0,bopha
PH05160100,207.0,bopha
PH05160200,34.0,bopha
PH05160200,71.0,bopha
PH05160300,82.0,bopha
PH05160300,82.0,bopha
PH05160400,68.0,bopha
PH05160500,62.0,bopha
PH05160500,55.0,bopha
PH05160500,38.0,bopha
PH05160500,62.0,bopha
PH05160500,62.0,bopha
PH05160500,55.0,bopha
PH05160500,55.0,bopha
PH05160600,38.0,bopha
PH05160700,239.0,bopha
PH05160700,156.0,bopha
PH05160700,161.0,bopha
PH05160700,156.0,bopha
PH05160700,107.0,bopha
PH05160700,107.0,bopha
PH05160700,161.0,bopha
PH05160700,161.0,bopha
PH05160700,161.0,bopha
PH05160700,161.0,bopha
PH05160700,161.0,bopha
PH05160700,161.0,bopha
PH05160700,161.0,bopha
PH05160800,32.0,bopha
PH05160800,53.0,bopha
PH05160800,61.0,bopha
PH05160900,68.0,bopha
PH05161000,51.0,bopha
PH05161100,82.0,bopha
PH05161100,82.0,bopha
PH05161200,32.0,bopha
PH05161200,48.0,bopha
PH05161200,48.0,bopha
PH05161200,48.0,bopha
PH05161200,48.0,bopha
PH05161200,48.0,bopha
PH05161200,48.0,bopha
