Mun_name,Mun_Code,mean_slope,mean_elevation_m,ruggedness_stdev,mean_ruggedness,slope_stdev,area_km2,poverty_perc,with_coast,coast_length,perimeter
LUBAO,PH035408000,0.73,8.63,3.62,5.45,0.55,165,2.29,1,16945,76227
MABALACAT CITY,PH035409000,3.87,160.33,27.02,20.53,5.60,98,0.90,0,,72078
MACABEBE,PH035410000,0.82,4.31,3.86,6.24,0.59,90,3.46,1,22172,104907
MAGALANG,PH035411000,1.15,45.61,7.30,6.63,1.69,97,1.71,0,,51617
MASANTOL,PH035412000,0.75,4.12,3.61,5.72,0.57,68,3.75,0,,47441
MEXICO,PH035413000,0.63,23.71,1.98,4.45,0.37,124,1.90,0,,67634
MINALIN,PH035414000,0.70,5.07,3.88,5.41,0.55,52,2.55,0,,53571
PORAC,PH035415000,10.94,392.56,49.02,56.99,9.86,297,2.81,0,,97126
CITY OF SAN FERNANDO (Capital),PH035416000,0.69,31.36,2.11,4.88,0.39,70,0.94,0,,49596
SAN LUIS,PH035417000,0.55,9.49,2.08,4.22,0.34,48,3.78,0,,54601
SAN SIMON,PH035418000,0.56,7.62,1.90,4.16,0.35,55,2.47,0,,45570
SANTA ANA,PH035419000,0.59,10.62,1.95,4.24,0.36,37,2.53,0,,34160
SANTA RITA,PH035420000,0.76,25.12,2.48,5.01,0.51,22,2.14,0,,23614
SANTO TOMAS,PH035421000,0.56,5.80,2.14,4.32,0.32,14,2.31,0,,21182
SASMUAN (Sexmoan),PH035422000,0.85,4.42,3.92,6.47,0.60,40,3.94,1,8071,53542
ANAO,PH036901000,0.63,21.34,2.25,4.53,0.41,25,3.28,0,,25479
BAMBAN,PH036902000,10.96,337.79,45.08,56.86,9.11,208,1.95,0,,84767
CAMILING,PH036903000,1.51,32.18,11.26,8.77,2.38,132,1.92,0,,62711
CAPAS,PH036904000,6.92,232.73,32.58,35.34,6.95,447,2.83,0,,100227
CONCEPCION,PH036905000,0.59,33.48,2.04,4.31,0.38,213,2.84,0,,67861
GERONA,PH036906000,1.17,35.82,5.57,7.19,1.23,122,3.34,0,,54851
LA PAZ,PH036907000,0.53,21.43,1.69,3.93,0.31,116,3.46,0,,63749
MAYANTOC,PH036908000,11.19,394.38,39.22,54.40,8.55,240,4.90,0,,76440
MONCADA,PH036909000,0.56,18.97,1.99,4.12,0.36,102,3.41,0,,49441
PANIQUI,PH036910000,0.90,25.63,3.99,6.04,0.82,107,2.42,0,,51809
PURA,PH036911000,0.61,25.70,1.86,4.37,0.35,32,2.62,0,,28066
RAMOS,PH036912000,0.57,20.77,1.84,4.09,0.35,26,4.50,0,,23984
SAN CLEMENTE,PH036913000,8.15,291.45,41.10,39.86,8.84,71,4.16,0,,61488
SAN MANUEL,PH036914000,0.52,24.30,1.75,3.75,0.33,33,3.80,0,,25775
SANTA IGNACIA,PH036915000,2.43,73.17,11.36,13.09,2.49,132,2.70,0,,57788
CITY OF TARLAC (Capital),PH036916000,1.04,50.69,4.51,6.47,0.97,263,2.23,0,,80907
VICTORIA,PH036917000,0.54,26.67,1.81,4.02,0.33,110,3.06,0,,54455
SAN JOSE,PH036918000,12.59,473.62,42.29,62.24,9.03,597,7.83,0,,117744
BOTOLAN,PH037101000,10.68,354.61,46.22,53.76,9.58,669,3.40,1,13063,127246
CABANGAN,PH037102000,15.79,335.32,49.56,77.29,10.29,206,4.69,1,10807,61981
CANDELARIA,PH037103000,14.85,576.25,44.51,72.24,9.36,423,3.46,1,14697,115327
CASTILLEJOS,PH037104000,8.01,155.57,42.30,40.14,8.78,104,1.62,0,,59446
IBA (Capital),PH037105000,10.25,277.16,54.34,51.44,11.14,141,2.41,1,13389,70331
MASINLOC,PH037106000,14.75,499.76,53.66,72.62,11.04,249,2.82,1,41867,129006
OLONGAPO CITY,PH037107000,10.14,142.36,32.43,50.29,7.14,141,0.90,1,52494,107151
PALAUIG,PH037108000,13.93,598.32,58.84,68.63,11.89,309,4.67,1,31254,104033
SAN ANTONIO,PH037109000,15.05,213.04,59.87,74.86,12.11,168,1.99,1,62947,111458
SAN FELIPE,PH037110000,9.43,127.25,42.62,45.83,9.14,115,3.08,1,10820,56682
SAN MARCELINO,PH037111000,12.42,384.18,53.25,63.45,10.41,420,3.64,1,25014,121279
SAN NARCISO,PH037112000,3.52,65.51,32.61,18.52,6.81,73,2.57,1,6021,40401
SANTA CRUZ,PH037113000,9.98,320.48,34.38,47.97,7.52,460,3.87,1,30132,141487
SUBIC,PH037114000,11.93,240.29,35.83,58.29,7.73,248,2.34,1,34967,137161
BALER (Capital),PH037701000,10.01,135.71,50.49,49.86,10.51,100,2.53,1,43482,73622
CASIGURAN,PH037702000,13.28,329.30,48.55,67.50,9.93,420,5.70,1,158705,221633
DILASAG,PH037703000,13.61,549.70,43.66,68.36,9.17,495,6.25,1,48435,121667
DINALUNGAN,PH037704000,17.04,598.03,52.28,85.94,10.58,326,5.87,1,36302,90819
DINGALAN,PH037705000,17.66,357.27,46.25,88.42,9.62,354,3.43,1,53651,173745
DIPACULAO,PH037706000,16.11,433.92,49.37,81.88,10.19,401,4.21,1,53547,131765
MARIA AURORA,PH037707000,10.53,280.69,37.28,53.28,7.90,336,4.15,0,,82346
SAN LUIS,PH037708000,21.16,646.80,58.92,107.85,11.72,598,4.37,1,57067,141118
AGONCILLO,PH041001000,5.87,123.65,18.01,31.63,3.80,49,3.96,1,13209,36041
ALITAGTAG,PH041002000,3.89,200.80,36.89,20.46,7.23,25,3.92,1,6750,24775
BALAYAN,PH041003000,3.67,100.41,26.82,19.39,5.40,93,4.61,1,12424,67794
BALETE,PH041004000,6.12,135.00,21.24,32.00,4.40,25,6.53,1,7098,36760
BATANGAS CITY (Capital),PH041005000,8.28,165.41,37.95,41.56,8.04,274,2.05,1,51342,122311
BAUAN,PH041006000,5.76,106.75,28.39,29.27,5.92,53,1.27,1,20278,49506
CALACA,PH041007000,4.39,194.97,20.04,24.22,3.91,115,4.54,1,13074,53243
CALATAGAN,PH041008000,4.36,46.33,22.13,23.20,4.62,106,5.89,1,79461,89508
CUENCA,PH041009000,10.91,324.26,65.54,54.30,12.32,30,3.45,1,9575,26946
IBAAN,PH041010000,1.92,129.27,11.16,11.15,2.14,70,2.98,0,,41893
LAUREL,PH041011000,10.03,221.02,34.04,52.73,7.11,74,5.70,1,13335,46168
LEMERY,PH041012000,4.94,175.00,19.18,27.18,4.01,72,3.81,1,9123,48674
LIAN,PH041013000,4.59,53.63,22.39,23.54,4.83,83,5.81,1,28353,58982
LIPA CITY,PH041014000,3.64,310.32,29.42,19.22,5.96,191,2.44,1,3579,85408
LOBO,PH041015000,14.60,257.63,45.13,74.12,9.43,192,5.47,1,26827,79129
MABINI,PH041016000,11.62,138.75,32.67,56.88,7.19,40,1.97,1,32007,36271
MALVAR,PH041017000,2.34,212.77,10.27,12.84,2.11,34,2.53,0,,33410
MATAASNAKAHOY,PH041018000,7.39,244.73,25.59,35.70,5.85,19,3.31,1,6420,21466
NASUGBU,PH041019000,7.97,143.38,33.81,40.74,7.23,267,4.34,1,85856,185809
PADRE GARCIA,PH041020000,1.14,142.57,3.32,7.16,0.68,39,2.77,0,,37127
ROSARIO,PH041021000,2.45,135.11,14.88,14.02,3.11,199,4.45,0,,94093
SAN JOSE,PH041022000,1.87,245.65,9.04,10.12,2.04,58,2.59,0,,36897
SAN JUAN,PH041023000,4.14,80.63,25.49,22.27,5.28,238,5.19,1,37721,83921
SAN LUIS,PH041024000,5.24,132.23,25.96,26.44,5.51,38,4.11,1,8790,31786
SAN NICOLAS,PH041025000,5.10,51.77,27.95,25.55,5.67,21,4.73,1,3640,31784
SAN PASCUAL,PH041026000,1.60,109.12,3.43,8.46,0.78,35,0.86,1,2826,30193
SANTA TERESITA,PH041027000,3.17,123.88,16.33,16.09,3.54,15,3.63,1,5849,21989
SANTO TOMAS,PH041028000,4.70,267.11,37.34,24.40,7.38,89,1.60,0,,56863
TAAL,PH041029000,2.35,75.33,6.70,12.19,1.52,27,3.94,1,1932,25603
TALISAY,PH041030000,10.63,172.48,37.87,53.57,7.71,59,3.03,1,12175,60191
CITY OF TANAUAN,PH041031000,3.05,139.93,15.10,15.90,3.27,112,1.85,1,10006,53787
TAYSAN,PH041032000,4.68,175.14,24.87,25.34,5.11,93,3.93,0,,55109
TINGLOY,PH041033000,13.09,126.30,29.37,65.75,6.65,33,7.06,1,5030,45332
TUY,PH041034000,3.84,130.23,24.46,19.65,5.10,94,5.10,0,,47512
ALFONSO,PH042101000,2.98,437.90,11.28,15.76,2.25,70,2.52,0,,56104
AMADEO,PH042102000,2.20,413.45,6.18,11.22,1.29,36,1.60,0,,30476
BACOOR CITY,PH042103000,1.03,29.66,3.24,6.55,0.69,49,1.52,1,5541,45505
CARMONA,PH042104000,2.58,77.38,12.54,14.62,2.65,24,1.25,0,,29686
CAVITE CITY,PH042105000,5.94,43.01,36.37,30.91,7.47,12,2.48,1,29676,53177
CITY OF DASMARIï¿½ï¿½AS,PH042106000,1.65,129.01,5.46,9.37,1.09,90,0.69,0,,47402
GENERAL EMILIO AGUINALDO,PH042107000,3.36,224.92,12.54,19.29,2.44,41,2.55,0,,31929
CITY OF GENERAL TRIAS,PH042108000,1.19,93.22,4.18,7.14,0.83,88,0.64,0,,64764
IMUS CITY,PH042109000,0.75,27.18,2.29,5.24,0.44,50,0.65,0,,41439
INDANG,PH042110000,2.34,306.68,7.07,12.69,1.32,89,1.56,0,,50576
KAWIT,PH042111000,0.72,6.44,3.03,5.25,0.51,16,2.72,1,20362,41035
MAGALLANES,PH042112000,4.48,188.90,19.50,24.19,4.23,66,5.16,0,,48048
MARAGONDON,PH042113000,9.05,163.59,38.87,46.37,8.31,142,3.93,1,6883,85040
MENDEZ (MENDEZ-NUï¿½ï¿½EZ),PH042114000,2.18,513.78,4.21,10.90,0.94,15,1.26,0,,17280
NAIC,PH042115000,1.32,49.12,6.08,7.96,1.19,71,2.79,1,180,49190
NOVELETA,PH042116000,0.74,5.76,3.50,5.59,0.52,5,1.15,1,3154,12389
ROSARIO,PH042117000,0.72,8.68,2.66,5.08,0.53,8,2.65,1,8,12995
SILANG,PH042118000,2.66,313.25,11.67,14.59,2.16,144,0.67,0,,69156
TAGAYTAY CITY,PH042119000,8.82,543.86,48.75,45.66,9.56,55,1.90,0,,42033
TANZA,PH042120000,1.08,29.95,3.53,6.76,0.70,75,1.32,1,12270,46709
TERNATE,PH042121000,11.04,121.56,35.02,56.47,7.86,47,5.95,1,29117,58270
TRECE MARTIRES CITY (Capital),PH042122000,1.84,125.37,5.44,10.65,1.06,46,1.83,0,,40397
GEN. MARIANO ALVAREZ,PH042123000,3.07,121.66,9.41,17.77,1.93,9,1.74,0,,20133
ALAMINOS,PH043401000,6.20,214.69,35.81,31.50,7.50,60,1.58,0,,42723
BAY,PH043402000,3.82,96.04,27.44,19.37,6.00,38,3.22,1,5696,42971
CITY OF BIï¿½ï¿½AN,PH043403000,0.94,32.54,4.14,6.26,0.78,38,1.85,1,4741,48199
CABUYAO CITY,PH043404000,2.09,79.48,17.03,12.32,3.25,47,0.70,1,9844,66617
CITY OF CALAMBA,PH043405000,2.99,124.18,17.40,15.56,3.72,139,0.86,1,12315,63315
CALAUAN,PH043406000,5.67,101.01,31.74,28.12,6.89,75,2.41,1,1238,55666
CAVINTI,PH043407000,4.81,331.96,17.53,25.72,3.91,110,3.90,1,48481,124472
FAMY,PH043408000,9.07,224.22,31.55,45.41,6.89,33,4.20,0,,38878
KALAYAAN,PH043409000,4.69,292.07,25.39,24.74,5.57,54,3.30,1,19148,53843
LILIW,PH043410000,6.90,393.06,38.19,33.89,8.16,43,1.60,0,,52174
LOS BAï¿½ï¿½OS,PH043411000,9.55,257.86,41.85,48.00,8.53,56,1.46,1,9093,36598
LUISIANA,PH043412000,6.40,360.51,30.00,33.76,6.49,75,1.79,0,,49198
LUMBAN,PH043413000,3.96,206.97,22.74,20.95,4.89,83,2.96,1,40763,151210
MABITAC,PH043414000,6.55,109.44,37.26,34.82,7.54,48,4.47,1,8995,41736
MAGDALENA,PH043415000,2.23,57.24,12.36,12.61,2.57,33,3.80,0,,28734
MAJAYJAY,PH043416000,7.64,411.55,32.51,38.16,6.75,60,4.53,0,,36986
NAGCARLAN,PH043417000,7.88,342.48,35.50,38.29,7.53,75,2.17,1,525,54987
PAETE,PH043418000,6.61,359.77,26.32,33.06,5.73,48,2.91,1,2788,32408
PAGSANJAN,PH043419000,3.96,46.85,25.84,20.66,5.69,28,2.40,0,,29081
PAKIL,PH043420000,9.03,252.25,34.10,44.19,7.38,47,5.01,1,2230,53108
PANGIL,PH043421000,8.57,277.23,35.22,43.16,7.61,50,3.33,1,3475,49079
PILA,PH043422000,0.92,13.70,2.77,6.10,0.59,26,3.56,1,5261,23456
RIZAL,PH043423000,9.71,475.76,42.14,46.13,9.13,23,1.67,1,486,25023
SAN PABLO CITY,PH043424000,4.47,180.31,30.26,22.75,6.39,185,1.03,1,3851,90623
CITY OF SAN PEDRO,PH043425000,1.90,43.31,8.73,11.23,1.81,24,0.43,1,4152,27300
SANTA CRUZ (Capital),PH043426000,0.90,12.15,3.40,6.09,0.66,37,1.34,1,13310,32304
SANTA MARIA,PH043427000,9.51,211.87,32.99,47.92,7.12,109,4.76,0,,57423
CITY OF SANTA ROSA,PH043428000,1.00,46.77,3.07,6.46,0.60,56,0.58,1,6320,46151
SINILOAN,PH043429000,8.48,282.66,29.80,43.51,6.46,55,2.27,1,869,56866
VICTORIA,PH043430000,0.80,9.75,2.79,5.51,0.56,29,3.04,1,8348,27559
AGDANGAN,PH045601000,3.23,38.78,13.06,17.71,2.82,36,4.77,1,10378,34379
ALABAT,PH045602000,6.96,63.79,31.62,36.11,6.80,60,4.95,1,36794,55439
ATIMONAN,PH045603000,9.93,128.37,32.36,51.05,7.07,221,3.24,1,24775,106627
BUENAVISTA,PH045605000,7.25,107.90,21.88,37.06,5.00,171,8.85,1,20717,80709
BURDEOS,PH045606000,5.15,55.61,22.75,28.44,4.62,265,9.50,1,102476,245175
CALAUAG,PH045607000,2.93,31.91,15.27,15.80,3.35,312,6.66,1,156834,234828
CANDELARIA,PH045608000,3.93,203.23,31.27,19.82,6.73,137,1.79,0,,73582
CATANAUAN,PH045610000,5.26,75.55,17.99,28.25,3.96,253,6.56,1,41570,100561
DOLORES,PH045615000,5.77,312.70,29.48,28.34,6.29,66,2.40,0,,39005
GENERAL LUNA,PH045616000,4.43,61.03,17.75,24.32,3.79,100,7.54,1,18114,66297
GENERAL NAKAR,PH045617000,17.68,447.52,43.20,89.02,9.23,1322,7.30,1,74904,216524
GUINAYANGAN,PH045618000,5.12,101.19,19.90,26.45,4.38,226,7.41,1,36482,132185
GUMACA,PH045619000,6.19,72.66,17.89,32.96,4.13,185,3.33,1,33178,108131
INFANTA,PH045620000,9.27,204.47,45.30,46.54,9.65,172,3.49,1,41462,122425
JOMALIG,PH045621000,1.34,11.82,4.04,8.05,0.88,52,9.61,1,37310,37310
LOPEZ,PH045622000,6.25,88.48,19.68,32.62,4.48,376,5.62,1,34342,139821
LUCBAN,PH045623000,7.58,527.95,33.91,37.55,7.39,138,1.22,0,,68380
LUCENA CITY (Capital),PH045624000,1.26,30.91,4.64,7.52,0.93,84,2.20,1,22942,61034
MACALELON,PH045625000,4.71,48.69,19.62,25.98,4.21,104,7.12,1,13642,58396
MAUBAN,PH045627000,10.73,193.84,38.41,53.66,8.10,409,4.73,1,63007,174202
MULANAY,PH045628000,6.63,92.98,18.45,33.80,4.19,276,8.42,1,27345,89513
PADRE BURGOS,PH045629000,5.38,59.33,21.51,29.03,4.70,76,6.14,1,28696,83262
PAGBILAO,PH045630000,5.68,86.45,30.88,30.38,6.36,175,2.15,1,34642,124096
PANUKULAN,PH045631000,5.97,64.00,26.72,33.17,5.33,180,9.36,1,100901,125143
PATNANUNGAN,PH045632000,2.53,20.96,9.63,14.96,1.96,96,11.02,1,2736,126339
PEREZ,PH045633000,5.64,48.13,21.49,30.27,4.56,52,9.45,1,874,38506
PITOGO,PH045634000,3.27,26.90,10.05,18.82,2.19,79,6.52,1,23447,65481
PLARIDEL,PH045635000,8.45,77.12,25.43,43.55,5.68,18,4.54,1,5326,28844
POLILLO,PH045636000,4.44,65.41,15.52,23.61,3.45,235,5.94,1,69691,116630
QUEZON,PH045637000,7.14,60.69,25.85,37.34,5.64,76,7.51,1,50051,59969
REAL,PH045638000,12.43,316.80,34.72,62.13,7.59,351,4.77,1,35282,157123
SAMPALOC,PH045639000,8.24,297.36,29.51,40.60,6.49,81,2.50,0,,50787
SAN ANDRES,PH045640000,7.27,152.26,26.11,36.81,5.63,175,7.00,1,43019,98663
SAN ANTONIO,PH045641000,3.32,111.24,24.06,17.72,5.00,62,4.57,0,,49795
SAN FRANCISCO (AURORA),PH045642000,6.90,128.00,21.80,34.25,4.85,316,7.77,1,61378,109762
SAN NARCISO,PH045644000,7.38,117.22,23.83,37.35,5.26,243,7.11,1,70609,141229
SARIAYA,PH045645000,3.85,207.28,37.25,20.01,6.96,214,2.80,1,21443,89697
TAGKAWAYAN,PH045646000,6.46,162.22,29.10,33.70,6.25,551,5.53,1,36870,150371
CITY OF TAYABAS,PH045647000,5.46,272.68,29.76,27.70,5.82,225,1.98,0,,96535
TIAONG,PH045648000,3.18,99.96,24.99,16.84,5.33,119,2.54,1,2529,73793
UNISAN,PH045649000,3.95,46.29,14.35,21.64,3.14,107,5.76,1,20613,65117
ANGONO,PH045801000,5.39,106.52,21.87,27.24,4.70,15,1.79,1,3709,21465
CITY OF ANTIPOLO,PH045802000,11.18,319.99,38.58,55.94,8.31,263,0.52,0,,122565
BARAS,PH045803000,5.46,159.80,22.95,28.17,4.86,54,1.97,1,1304,49455
BINANGONAN,PH045804000,7.31,68.35,30.38,36.88,6.51,54,1.68,1,21773,86149
CAINTA,PH045805000,1.13,14.61,6.70,7.22,1.49,21,0.48,0,,39435
CARDONA,PH045806000,12.39,93.79,40.92,60.50,8.98,24,4.53,1,14966,65202
JALA-JALA,PH045807000,8.46,97.83,33.51,41.32,7.27,44,4.76,1,24360,36048
RODRIGUEZ (MONTALBAN),PH045808000,14.97,407.71,44.07,75.53,9.35,235,1.50,0,,99375
MORONG,PH045809000,3.97,50.73,15.73,20.72,3.50,35,2.31,1,4375,32949
PILILLA,PH045810000,8.20,162.23,34.70,41.29,7.44,67,2.64,1,18304,54951
SAN MATEO,PH045811000,8.77,197.35,33.69,44.60,7.36,58,1.47,0,,44106
TANAY,PH045812000,12.24,366.12,38.13,61.32,8.17,284,3.60,1,4607,115184
TAYTAY,PH045813000,2.53,34.80,14.23,13.99,2.98,28,1.70,1,9353,32940
TERESA,PH045814000,4.18,81.37,19.34,21.90,4.28,20,2.74,0,,22903
BACACAY,PH050501000,7.39,84.66,28.02,37.37,6.06,119,6.12,1,38195,168980
CAMALIG,PH050502000,5.15,190.64,23.57,27.97,5.02,132,6.37,1,471,65079
DARAGA (LOCSIN),PH050503000,4.02,138.71,21.57,21.08,4.74,124,4.22,0,,85003
GUINOBATAN,PH050504000,6.03,222.71,22.89,31.37,4.97,175,6.46,0,,70955
JOVELLAR,PH050505000,4.31,83.14,16.59,27.49,3.32,81,10.40,0,,51396
LEGAZPI CITY (Capital),PH050506000,4.90,126.69,23.33,24.53,5.11,158,4.42,1,41612,110050
LIBON,PH050507000,6.02,89.06,26.43,30.59,5.76,224,7.13,1,22405,89347
CITY OF LIGAO,PH050508000,6.49,174.67,28.65,33.22,6.07,247,5.80,1,12908,138086
MALILIPOT,PH050509000,9.28,306.01,39.72,44.98,8.45,43,6.22,1,4140,41389
MALINAO,PH050510000,8.36,301.09,37.94,40.72,8.07,109,5.84,1,6337,46404
MANITO,PH050511000,11.23,239.12,39.33,56.43,8.23,94,7.60,1,30626,51634
OAS,PH050512000,8.62,161.72,36.01,44.69,7.58,244,7.61,1,17693,137810
PIO DURAN,PH050513000,6.33,115.79,23.26,33.57,5.22,141,9.60,1,15918,64599
POLANGUI,PH050514000,5.03,127.60,23.10,25.89,5.04,123,5.07,1,1379,70034
RAPU-RAPU,PH050515000,10.54,126.24,30.44,50.74,6.77,154,7.65,1,5335,176977
SANTO DOMINGO (LIBOG),PH050516000,8.97,308.50,37.58,41.74,8.00,55,6.11,1,14660,47894
CITY OF TABACO,PH050517000,7.12,269.72,34.63,34.16,7.41,118,5.78,1,13967,100343
TIWI,PH050518000,13.51,417.56,51.44,68.17,10.11,127,5.47,1,18316,53709
BASUD,PH051601000,6.51,182.04,35.30,34.19,7.24,265,6.32,1,5240,100145
CAPALONGA,PH051602000,6.74,80.29,22.07,35.34,4.92,254,8.24,1,91196,130546
DAET (Capital),PH051603000,0.69,12.33,2.33,4.65,0.47,50,3.12,1,116,39809
SAN LORENZO RUIZ (IMELDA),PH051604000,6.54,238.19,42.00,35.13,7.93,90,6.62,0,,67911
JOSE PANGANIBAN,PH051605000,6.22,77.17,19.38,31.92,4.52,176,5.10,1,87353,137085
LABO,PH051606000,6.28,151.43,27.50,32.47,5.79,628,4.86,0,,129865
MERCEDES,PH051607000,8.23,140.63,39.01,41.51,8.01,118,7.57,1,20949,157622
PARACALE,PH051608000,6.29,62.52,26.08,31.38,5.88,157,5.39,1,32646,88582
SAN VICENTE,PH051609000,5.18,159.55,28.63,27.09,5.78,52,5.48,0,,43140
SANTA ELENA,PH051610000,5.86,84.29,32.04,31.08,6.75,203,8.17,1,47982,98353
TALISAY,PH051611000,0.59,10.21,2.06,4.05,0.40,32,4.43,1,9096,30977
VINZONS,PH051612000,2.08,11.13,17.24,11.42,3.66,94,7.40,1,37565,205244
BAAO,PH051701000,5.29,84.79,27.24,27.16,5.78,108,4.89,1,5759,57357
BALATAN,PH051702000,9.55,148.45,28.39,47.91,6.32,58,7.12,1,9791,38654
BATO,PH051703000,5.11,75.47,24.00,26.25,5.20,84,6.02,1,5312,68398
BOMBON,PH051704000,0.94,28.27,3.56,5.64,0.77,30,4.79,0,,43296
BUHI,PH051705000,9.48,281.80,40.93,47.81,8.51,188,6.44,1,26460,92591
BULA,PH051706000,3.72,65.23,20.18,19.24,4.36,165,5.57,1,9317,89613
CABUSAO,PH051707000,0.91,9.23,5.06,5.85,1.00,37,7.00,1,12683,38011
CALABANGA,PH051708000,5.00,201.37,33.70,25.47,6.73,151,5.89,1,26490,91398
CAMALIGAN,PH051709000,0.59,2.87,1.95,4.38,0.36,6,4.19,0,,15368
CANAMAN,PH051710000,0.51,2.54,2.04,3.70,0.37,42,5.03,0,,41605
CARAMOAN,PH051711000,10.30,98.49,33.53,53.69,7.20,274,8.76,1,118150,294608
DEL GALLEGO,PH051712000,8.07,247.44,38.33,41.85,7.83,214,6.29,1,24471,82788
GAINZA,PH051713000,0.46,2.52,1.63,3.50,0.29,16,5.71,0,,24923
GARCHITORENA,PH051714000,10.70,189.58,32.84,52.88,7.39,245,9.06,1,9083,280907
GOA,PH051715000,5.93,243.19,40.56,30.01,7.77,186,6.37,0,,82422
IRIGA CITY,PH051716000,5.45,142.41,29.29,27.55,6.30,139,3.78,0,,70744
LAGONOY,PH051717000,11.32,195.55,36.68,56.02,8.08,384,6.25,1,67913,159598
LIBMANAN,PH051718000,4.71,111.55,23.46,24.33,5.15,369,6.77,1,24471,114256
LUPI,PH051719000,4.82,114.63,18.39,26.11,3.98,198,7.53,1,4839,111237
MAGARAO,PH051720000,0.64,9.14,2.08,4.23,0.44,38,5.37,0,,47181
MILAOR,PH051721000,0.65,9.31,2.77,4.58,0.46,33,5.51,0,,34260
MINALABAC,PH051722000,3.14,49.29,20.64,15.92,4.54,127,5.42,1,8165,61757
NABUA,PH051723000,1.22,19.11,5.15,8.00,0.96,86,4.58,0,,47086
NAGA CITY,PH051724000,3.50,175.93,31.45,17.82,6.26,80,2.56,0,,62328
OCAMPO,PH051725000,6.36,257.85,43.76,31.52,8.82,118,9.14,0,,59566
PAMPLONA,PH051726000,2.29,28.08,15.89,12.33,3.40,66,6.44,0,,44353
PASACAO,PH051727000,9.11,114.21,30.18,44.64,6.59,134,7.35,1,33231,72886
PILI (Capital),PH051728000,3.08,140.19,29.38,15.87,5.82,123,4.32,0,,70605
PRESENTACION (PARUBCAN),PH051729000,14.67,278.21,32.89,71.99,7.28,154,8.43,1,25937,72740
RAGAY,PH051730000,7.31,185.88,30.81,39.49,6.43,379,6.17,1,60787,137468
SAGï¿½ï¿½AY,PH051731000,8.86,162.96,39.53,45.14,8.30,103,9.65,1,24802,71458
SAN FERNANDO,PH051732000,5.73,86.52,27.90,29.26,6.01,84,5.66,1,9490,43080
SAN JOSE,PH051733000,2.71,45.26,26.08,14.32,5.43,52,5.94,1,3404,49434
SIPOCOT,PH051734000,4.55,110.48,15.35,24.38,3.42,254,6.14,1,18002,111677
SIRUMA,PH051735000,3.24,25.72,14.81,17.24,3.44,129,9.44,1,135919,180848
TIGAON,PH051736000,4.80,195.74,32.08,23.49,6.38,78,6.81,1,1588,45877
TINAMBAC,PH051737000,4.75,127.63,29.75,25.09,5.71,329,7.40,1,126660,216900
BAGAMANOC,PH052001000,9.85,108.13,28.72,50.57,6.53,68,6.48,1,16622,69594
BARAS,PH052002000,11.90,189.20,29.07,60.50,6.60,71,7.02,1,42961,73442
BATO,PH052003000,11.81,149.84,34.17,57.59,7.76,52,4.95,1,41152,57345
CARAMORAN,PH052004000,12.79,258.92,33.45,65.68,7.44,281,7.90,1,36720,120942
GIGMOTO,PH052005000,11.82,234.09,25.92,60.14,6.19,106,6.50,1,33,80956
PANDAN,PH052006000,8.67,111.38,27.56,45.85,6.04,106,7.36,1,52579,72753
PANGANIBAN (PAYO),PH052007000,8.13,95.01,29.86,41.80,6.54,51,6.89,1,28772,74694
SAN ANDRES (CALOLBON),PH052008000,14.13,230.45,42.22,71.55,9.07,179,6.81,1,55546,85564
SAN MIGUEL,PH052009000,13.86,335.47,32.33,69.51,7.28,243,5.96,0,,59752
VIGA,PH052010000,11.05,146.52,33.45,57.45,7.31,168,7.70,1,38265,90034
VIRAC (Capital),PH052011000,9.98,166.73,39.80,51.31,8.55,134,3.99,1,28828,60469
AROROY,PH054101000,6.48,81.54,27.33,34.03,5.87,456,7.21,1,168360,255061
BALENO,PH054102000,9.99,169.98,28.46,50.15,6.47,155,8.87,1,23683,70027
BALUD,PH054103000,4.24,40.71,22.72,21.63,4.79,210,7.67,1,78452,107903
BATUAN,PH054104000,6.64,60.26,21.82,34.07,4.75,53,8.03,1,35991,50747
CATAINGAN,PH054105000,3.94,68.69,16.03,20.46,3.53,186,10.19,1,58094,113252
CAWAYAN,PH054106000,1.53,25.96,5.75,8.41,1.24,269,8.18,1,49598,138401
CLAVERIA,PH054107000,6.78,83.24,23.70,34.07,5.24,171,8.35,1,149327,156604
DIMASALANG,PH054108000,4.86,59.62,17.11,25.04,3.79,81,8.84,1,16786,80877
ESPERANZA,PH054109000,1.69,24.46,7.24,10.34,1.38,70,8.28,1,22251,52334
MANDAON,PH054110000,4.46,56.28,22.67,22.78,4.78,322,9.99,1,86751,177044
CITY OF MASBATE (Capital),PH054111000,6.32,88.81,26.42,32.93,5.67,201,6.74,1,59826,113383
MILAGROS,PH054112000,3.99,66.26,20.90,20.15,4.50,478,9.71,1,70792,177914
MOBO,PH054113000,9.25,175.07,25.41,46.01,5.85,150,9.06,1,22494,57061
MONREAL,PH054114000,8.63,113.47,28.82,44.30,6.04,89,8.07,1,5157,93622
PALANAS,PH054115000,5.74,121.08,19.34,28.97,4.32,131,9.65,1,14651,68473
PIO V. CORPUZ (LIMBUHAN),PH054116000,3.85,57.53,16.41,20.59,3.65,90,9.30,1,27896,68543
PLACER,PH054117000,1.69,23.42,6.65,9.65,1.40,199,8.98,1,21726,80905
